category_of_package,count_of_cities,no_of_days,categories_by_price,accommodation_facility,price
family_package,2,3,budget,1 star,9999.0
holiday_package,1,4,budget,1 star,11300.0
weekend_package,1,3,budget,1 star,8900.0
holiday_package,3,6,standard,3 star,19000.0
holiday_package,2,5,standard,3 star,16000.0
luxury_package,2,5,standard,3 star,27000.0
honeymoon_package,1,4,budget,1 star,12000.0
holiday_package,1,3,budget,1 star,10000.0
holiday_package,3,5,standard,3 star,15500.0
honeymoon_package,4,8,standard,3 star,25500.0
honeymoon_package,2,3,budget,1 star,9000.0
honeymoon_package,4,8,standard,3 star,27500.0
honeymoon_package,4,8,premium,4 star,33500.0
holiday_package,4,8,premium,4 star,36500.0
family_package,4,8,premium,4 star,30499.0
holiday_package,3,4,budget,1 star,15000.0
holiday_package,4,6,standard,3 star,24999.0
family_package,3,5,standard,3 star,20000.0
holiday_package,4,3,budget,1 star,10999.0
honeymoon_package,5,5,standard,3 star,19500.0
honeymoon_package,5,6,standard,3 star,24500.0
holiday_package,3,3,budget,1 star,11499.0
honeymoon_package,4,4,budget,1 star,13500.0
holiday_package,3,3,budget,1 star,10800.0
budget_package,5,5,standard,3 star,20299.0
spiritual packages,6,10,premium,4 star,45000.0
family_package,4,6,standard,3 star,23599.0
honeymoon_package,5,4,budget,1 star,14500.0
holiday_package,3,6,standard,3 star,25670.0
family_package,3,5,standard,3 star,20500.0
holiday_package,5,7,standard,3 star,26500.0
holiday_package,4,6,standard,3 star,23999.0
holiday_package,4,8,premium,4 star,36750.0
holiday_package,2,5,standard,3 star,19000.0
spiritual packages,6,8,premium,4 star,30900.0
holiday_package,7,10,premium,4 star,47000.0
holiday_package,4,7,premium,5 star,30200.0
holiday_package,6,10,premium,4 star,48000.0
holiday_package,3,5,standard,3 star,20500.0
holiday_package,2,6,standard,3 star,21500.0
holiday_package,3,6,standard,3 star,23600.0
holiday_package,4,8,premium,4 star,31000.0
holiday_package,3,7,premium,5 star,36494.0
honeymoon_package,4,4,budget,1 star,7500.0
luxury_package,3,3,standard,2 star,22800.0
honeymoon_package,5,5,budget,1 star,10699.0
honeymoon_package,6,10,standard,3 star,23000.0
family_package,5,7,standard,3 star,27500.0
honeymoon_package,5,7,standard,3 star,19450.0
honeymoon_package,4,7,standard,3 star,28999.0
holiday_package,2,5,standard,3 star,15999.0
honeymoon_package,8,6,standard,3 star,25499.0
honeymoon_package,2,5,standard,3 star,25500.0
holiday_package,4,8,premium,4 star,36500.0
holiday_package,3,7,standard,3 star,16000.0
holiday_package,3,7,standard,3 star,17000.0
holiday_package,4,7,standard,3 star,15500.0
holiday_package,3,5,budget,1 star,14000.0
holiday_package,3,3,budget,1 star,11499.0
honeymoon_package,5,4,budget,1 star,14500.0
holiday_package,5,5,standard,3 star,20299.0
family_package,7,8,premium,4 star,33500.0
family_package,6,10,premium,4 star,48000.0
holiday_package,4,6,standard,3 star,24999.0
holiday_package,3,3,budget,1 star,10800.0
holiday_package,6,10,premium,4 star,45000.0
honeymoon_package,4,6,standard,3 star,17999.0
holiday_package,3,5,budget,1 star,12000.0
holiday_package,3,5,budget,1 star,14000.0
honeymoon_package,6,7,premium,5 star,30898.0
holiday_package,4,4,budget,1 star,15000.0
weekend_package,3,3,budget,1 star,11805.0
family_package,7,8,premium,4 star,33500.0
holiday_package,3,4,budget,1 star,14999.0
offbeat_package,6,7,standard,3 star,29266.0
weekend_package,2,3,budget,1 star,10500.0
honeymoon_package,2,5,budget,1 star,12000.0
holiday_package,2,5,budget,1 star,13000.0
weekend_package,3,4,standard,3 star,15950.0
holiday_package,4,6,standard,3 star,24800.0
holiday_package,2,5,budget,1 star,12500.0
holiday_package,2,4,budget,1 star,6000.0
holiday_package,2,6,budget,1 star,15000.0
holiday_package,3,7,standard,3 star,16500.0
honeymoon_package,4,6,standard,3 star,19800.0
honeymoon_package,2,6,budget,1 star,14850.0
holiday_package,2,6,standard,3 star,19850.0
holiday_package,2,4,budget,1 star,8999.0
adventure_package,3,4,budget,1 star,12600.0
holiday_package,5,5,standard,3 star,23000.0
adventure_package,3,4,budget,1 star,9999.0
holiday_package,4,7,premium,5 star,31500.0
holiday_package,9,10,premium,4 star,49200.0
adventure_package,5,8,premium,4 star,34500.0
holiday_package,5,7,premium,5 star,35900.0
holiday_package,10,12,luxury,5 star,69972.0
holiday_package,7,10,luxury,5 star,51999.0
holiday_package,9,12,luxury,5 star,80500.0
adventure_package,5,6,standard,3 star,26090.0
honeymoon_package,4,6,standard,3 star,22720.0
honeymoon_package,5,5,standard,3 star,20000.0
honeymoon_package,7,8,premium,4 star,35500.0
honeymoon_package,8,9,premium,4 star,40900.0
honeymoon_package,9,12,luxury,5 star,55500.0
honeymoon_package,9,12,standard,3 star,28500.0
honeymoon_package,5,8,premium,4 star,33500.0
honeymoon_package,8,9,premium,4 star,43800.0
honeymoon_package,4,7,standard,3 star,28500.0
honeymoon_package,5,7,standard,3 star,24900.0
holiday_package,5,7,standard,3 star,16500.0
holiday_package,5,6,standard,3 star,22720.0
nature_package,3,5,standard,3 star,21712.0
holiday_package,5,8,premium,4 star,35520.0
holiday_package,1,5,standard,3 star,21000.0
holiday_package,2,3,budget,1 star,11000.0
holiday_package,3,5,budget,1 star,12000.0
holiday_package,2,5,budget,1 star,8500.0
honeymoon_package,4,7,standard,3 star,29500.0
holiday_package,5,7,standard,3 star,28500.0
holiday_package,4,6,budget,1 star,7999.0
holiday_package,6,7,standard,3 star,17000.0
holiday_package,4,6,standard,3 star,24999.0
offbeat_package,9,11,luxury,5 star,59530.0
honeymoon_package,4,6,standard,3 star,17999.0
honeymoon_package,4,6,standard,3 star,24999.0
family_package,3,6,standard,3 star,25133.0
adventure_package,9,12,luxury,5 star,59990.0
holiday_package,8,12,premium,4 star,35000.0
holiday_package,7,8,premium,4 star,40500.0
holiday_package,5,6,standard,3 star,22500.0
holiday_package,6,7,standard,3 star,17000.0
family_package,5,6,standard,3 star,16500.0
holiday_package,9,10,premium,4 star,49200.0
honeymoon_package,4,6,budget,1 star,13500.0
honeymoon_package,5,6,standard,3 star,16500.0
holiday_package,4,6,budget,1 star,7999.0
holiday_package,9,10,luxury,5 star,50690.0
holiday_package,4,11,standard,3 star,30000.0
holiday_package,5,6,standard,3 star,17500.0
holiday_package,3,6,budget,1 star,15000.0
holiday_package,1,4,budget,1 star,11000.0
holiday_package,3,6,standard,3 star,25670.0
holiday_package,8,7,standard,3 star,27500.0
holiday_package,4,6,standard,3 star,24999.0
honeymoon_package,5,4,budget,1 star,14500.0
holiday_package,5,7,standard,3 star,26500.0
holiday_package,4,7,standard,3 star,17500.0
honeymoon_package,4,6,standard,3 star,18000.0
nature_package,2,2,budget,1 star,5500.0
holiday_package,3,4,budget,1 star,10500.0
honeymoon_package,5,4,budget,1 star,12000.0
honeymoon_package,5,4,budget,1 star,11000.0
offbeat_package,6,6,standard,3 star,17800.0
holiday_package,5,5,standard,3 star,17400.0
holiday_package,2,4,budget,1 star,8950.0
holiday_package,1,3,budget,1 star,7000.0
adventure_package,2,5,budget,1 star,7999.0
holiday_package,2,4,budget,1 star,6750.0
holiday_package,5,10,premium,4 star,40250.0
holiday_package,2,4,budget,1 star,12599.0
holiday_package,2,3,budget,1 star,5500.0
holiday_package,4,7,standard,3 star,16000.0
holiday_package,4,6,budget,1 star,15000.0
holiday_package,4,6,budget,1 star,13799.0
holiday_package,3,5,budget,1 star,12200.0
holiday_package,4,6,standard,3 star,20450.0
nature_package,5,8,premium,4 star,34000.0
holiday_package,3,6,standard,3 star,21550.0
holiday_package,5,9,premium,4 star,38999.0
holiday_package,3,5,standard,3 star,16649.0
holiday_package,3,5,budget,1 star,15000.0
holiday_package,4,6,budget,1 star,13799.0
holiday_package,4,7,standard,3 star,16559.0
holiday_package,4,6,standard,3 star,18900.0
honeymoon_package,4,7,standard,3 star,16000.0
honeymoon_package,2,4,standard,3 star,15899.0
honeymoon_package,4,6,budget,1 star,15000.0
honeymoon_package,3,5,budget,1 star,12000.0
honeymoon_package,5,10,standard,3 star,24250.0
nature_package,5,8,standard,3 star,22000.0
honeymoon_package,3,5,budget,1 star,12649.0
honeymoon_package,5,9,standard,3 star,22999.0
honeymoon_package,5,10,standard,3 star,24250.0
honeymoon_package,5,9,standard,3 star,22999.0
honeymoon_package,3,5,budget,1 star,12200.0
holiday_package,1,5,luxury,5 star,73450.0
honeymoon_package,3,5,standard,3 star,19900.0
luxury_package,3,5,standard,3 star,30000.0
honeymoon_package,3,5,budget,1 star,12000.0
honeymoon_package,3,5,budget,1 star,12000.0
honeymoon_package,4,6,budget,1 star,13799.0
honeymoon_package,4,7,standard,3 star,25000.0
honeymoon_package,1,3,budget,1 star,7000.0
honeymoon_package,2,4,budget,1 star,11050.0
budget_package,2,3,budget,1 star,6500.0
weekend_package,3,3,standard,2 star,27600.0
weekend_package,3,3,budget,1 star,14206.0
weekend_package,3,3,budget,1 star,9649.0
weekend_package,3,3,budget,1 star,8503.0
weekend_package,3,3,budget,1 star,8160.0
weekend_package,3,3,budget,1 star,7009.0
weekend_package,3,3,standard,2 star,27800.0
cultural_package,4,5,budget,1 star,11999.0
holiday_package,4,7,standard,3 star,25335.0
offbeat_package,5,9,standard,3 star,22999.0
holiday_package,3,5,budget,1 star,12649.0
holiday_package,4,6,standard,3 star,18900.0
nature_package,6,5,budget,1 star,15000.0
holiday_package,4,7,standard,3 star,16559.0
holiday_package,5,9,premium,4 star,35999.0
holiday_package,4,6,budget,1 star,14700.0
holiday_package,4,6,budget,1 star,11500.0
holiday_package,3,5,standard,3 star,16649.0
holiday_package,3,4,budget,1 star,14350.0
cultural_package,4,8,premium,4 star,35800.0
holiday_package,4,5,budget,1 star,13900.0
honeymoon_package,4,6,standard,3 star,18000.0
holiday_package,6,7,premium,5 star,34500.0
honeymoon_package,4,6,budget,1 star,14000.0
offbeat_package,5,9,standard,3 star,22999.0
honeymoon_package,5,9,standard,3 star,22999.0
honeymoon_package,4,7,standard,3 star,25335.0
honeymoon_package,3,5,budget,1 star,12649.0
honeymoon_package,3,5,budget,1 star,12649.0
nature_package,6,5,budget,1 star,15000.0
honeymoon_package,4,7,standard,3 star,18000.0
honeymoon_package,3,4,budget,1 star,14350.0
honeymoon_package,4,6,standard,3 star,20000.0
honeymoon_package,4,6,standard,3 star,18800.0
weekend_package,1,2,budget,1 star,4000.0
holiday_package,1,3,budget,1 star,5000.0
luxury_package,3,6,budget,1 star,13799.0
cultural_package,2,5,budget,1 star,9000.0
adventure_package,1,2,budget,1 star,2999.0
holiday_package,1,4,budget,1 star,14300.0
spiritual packages,9,8,premium,4 star,38750.0
nature_package,3,5,budget,1 star,12649.0
honeymoon_package,2,3,budget,1 star,7300.0
holiday_package,3,5,budget,1 star,5000.0
cultural_package,3,6,budget,1 star,13799.0
weekend_package,2,3,budget,1 star,6000.0
holiday_package,4,7,standard,3 star,25000.0
holiday_package,3,5,standard,3 star,16649.0
holiday_package,4,6,standard,3 star,20450.0
holiday_package,4,7,standard,3 star,25335.0
cultural_package,4,7,standard,3 star,16559.0
cultural_package,4,8,premium,4 star,35800.0
holiday_package,4,7,standard,3 star,24559.0
holiday_package,5,9,premium,4 star,38999.0
cultural_package,4,6,standard,3 star,19000.0
honeymoon_package,3,5,standard,3 star,16000.0
weekend_package,3,3,budget,1 star,7000.0
nature_package,1,3,budget,1 star,15000.0
family_package,4,7,standard,3 star,25500.0
weekend_package,2,3,standard,2 star,25767.0
weekend_package,2,3,standard,2 star,22073.0
weekend_package,2,3,premium,4 star,36756.0
weekend_package,2,3,standard,2 star,19672.0
weekend_package,2,3,budget,1 star,14000.0
weekend_package,2,3,standard,2 star,15444.0
holiday_package,5,9,premium,4 star,35999.0
holiday_package,1,4,budget,1 star,4100.0
holiday_package,3,4,budget,1 star,14300.0
holiday_package,4,5,standard,3 star,21000.0
holiday_package,3,3,budget,1 star,11500.0
holiday_package,4,5,standard,3 star,18900.0
holiday_package,7,8,standard,3 star,28700.0
nature_package,3,3,budget,1 star,10900.0
honeymoon_package,5,7,luxury,5 star,55000.0
holiday_package,4,6,standard,3 star,23700.0
weekend_package,4,5,budget,1 star,13100.0
nature_package,4,5,standard,3 star,19000.0
holiday_package,5,6,standard,3 star,24670.0
honeymoon_package,4,7,standard,3 star,27950.0
holiday_package,5,6,standard,3 star,24550.0
holiday_package,3,4,budget,1 star,14999.0
holiday_package,5,8,standard,3 star,27569.0
holiday_package,5,7,standard,3 star,28000.0
honeymoon_package,3,4,budget,1 star,12000.0
holiday_package,5,7,standard,3 star,28000.0
honeymoon_package,4,5,standard,3 star,19100.0
holiday_package,6,8,premium,4 star,35250.0
family_package,4,5,standard,3 star,19200.0
family_package,6,7,standard,3 star,28000.0
offbeat_package,5,8,premium,4 star,31197.0
honeymoon_package,5,6,standard,3 star,27000.0
holiday_package,3,5,standard,3 star,18849.0
honeymoon_package,5,7,standard,3 star,27400.0
holiday_package,2,4,budget,1 star,14500.0
budget_package,2,3,budget,1 star,12000.0
spiritual packages,3,6,standard,3 star,24000.0
weekend_package,2,3,budget,1 star,12350.0
holiday_package,3,4,budget,1 star,14200.0
honeymoon_package,4,6,standard,3 star,23500.0
