visit_places,rating,visit_place_summary,best_time,state_name,no_of_turist_attration,tokenized_summary
srikalahasti,3.9,located chittoor district andhra pradesh holy city srikalahasti popular tourist destination due famous srikalahasti temple one important shiva temples south india built ancient pallava dynasty vibrant yesteryear place ha,july to march,andhra pradesh,9,"['located', 'chittoor', 'district', 'andhra', 'pradesh', 'holy', 'city', 'srikalahasti', 'popular', 'tourist', 'destination', 'due', 'famous', 'srikalahasti', 'temple', 'one', 'important', 'shiva', 'temples', 'south', 'india', 'built', 'ancient', 'pallava', 'dynasty', 'vibrant', 'yesteryear', 'place', 'ha']"
mantralayam,4.8,mantralayam holy town situated 74 km kurnool district andhra pradesh 250 km state capital hyderabad located near border karnataka banks river tungabhadra mantralayam known sri guru raghavendra swami saint entere,october to march,andhra pradesh,2,"['mantralayam', 'holy', 'town', 'situated', '74', 'km', 'kurnool', 'district', 'andhra', 'pradesh', '250', 'km', 'state', 'capital', 'hyderabad', 'located', 'near', 'border', 'karnataka', 'banks', 'river', 'tungabhadra', 'mantralayam', 'known', 'sri', 'guru', 'raghavendra', 'swami', 'saint', 'entere']"
annavaram,4.3,located east godavari district andhra pradesh annavaram small hamlet banks river pampa hilltop ratnagiri distance 142 kilometres hyderabad temple village famous shrine sri veera venkata satyanarayana swamy form hin,throughout the year,andhra pradesh,2,"['located', 'east', 'godavari', 'district', 'andhra', 'pradesh', 'annavaram', 'small', 'hamlet', 'banks', 'river', 'pampa', 'hilltop', 'ratnagiri', 'distance', '142', 'kilometres', 'hyderabad', 'temple', 'village', 'famous', 'shrine', 'sri', 'veera', 'venkata', 'satyanarayana', 'swamy', 'form', 'hin']"
puttaparthi,5.0,holy abode legendary figure sathya sai baba puttaparthi town takes back days ashrams ways living times equal influence presenta tiny town andhra pradesh puttaparthi gained global fame centre religious brillianc,september to february,andhra pradesh,13,"['holy', 'abode', 'legendary', 'figure', 'sathya', 'sai', 'baba', 'puttaparthi', 'town', 'takes', 'back', 'days', 'ashrams', 'ways', 'living', 'times', 'equal', 'influence', 'presenta', 'tiny', 'town', 'andhra', 'pradesh', 'puttaparthi', 'gained', 'global', 'fame', 'centre', 'religious', 'brillianc']"
vizianagaram,4.7,lying close coastline bay bengal eastern ghats vizianagaram city state andhra pradesh deriving name princely district vizianagaram name city means city victory bounded vishakhapatnam west south bay b,october to march,andhra pradesh,12,"['lying', 'close', 'coastline', 'bay', 'bengal', 'eastern', 'ghats', 'vizianagaram', 'city', 'state', 'andhra', 'pradesh', 'deriving', 'name', 'princely', 'district', 'vizianagaram', 'name', 'city', 'means', 'city', 'victory', 'bounded', 'vishakhapatnam', 'west', 'south', 'bay', 'b']"
samalkot,4.0,samalkot small quaint town charm experienced visiting situated east godavari district andhra pradesh place regarded holy devotees lord shiva,october to march,andhra pradesh,7,"['samalkot', 'small', 'quaint', 'town', 'charm', 'experienced', 'visiting', 'situated', 'east', 'godavari', 'district', 'andhra', 'pradesh', 'place', 'regarded', 'holy', 'devotees', 'lord', 'shiva']"
nagarjunakonda,4.7,buddhist town flaunts ageold tools buddhist stupas statues monasteries scriptures nagarjunakonda one famous buddhist pilgrimage sites india located 150km hyderabad near nagarjuna sagar reservoir town believed existed almost 1800 years,october to march,andhra pradesh,5,"['buddhist', 'town', 'flaunts', 'ageold', 'tools', 'buddhist', 'stupas', 'statues', 'monasteries', 'scriptures', 'nagarjunakonda', 'one', 'famous', 'buddhist', 'pilgrimage', 'sites', 'india', 'located', '150km', 'hyderabad', 'near', 'nagarjuna', 'sagar', 'reservoir', 'town', 'believed', 'existed', 'almost', '1800', 'years']"
yaganti,4.2,yaganti kurnool district andhra pradesh india popular tourist site famous temple sri yagantiswamy dedicated lord shiva perfect way get feel andhra pradesh tourism also known uma maheshwara temple ancient sri yag,,andhra pradesh,,"['yaganti', 'kurnool', 'district', 'andhra', 'pradesh', 'india', 'popular', 'tourist', 'site', 'famous', 'temple', 'sri', 'yagantiswamy', 'dedicated', 'lord', 'shiva', 'perfect', 'way', 'get', 'feel', 'andhra', 'pradesh', 'tourism', 'also', 'known', 'uma', 'maheshwara', 'temple', 'ancient', 'sri', 'yag']"
rushikonda beach,4.1,rushikonda beach stunning shore located coast bay bengal vishakhapatnam indian state andhra pradesh aptdc charge natural beauty done great job upkeep beach ensured natural attraction remains unspoil,,andhra pradesh,,"['rushikonda', 'beach', 'stunning', 'shore', 'located', 'coast', 'bay', 'bengal', 'vishakhapatnam', 'indian', 'state', 'andhra', 'pradesh', 'aptdc', 'charge', 'natural', 'beauty', 'done', 'great', 'job', 'upkeep', 'beach', 'ensured', 'natural', 'attraction', 'remains', 'unspoil']"
coringa wildlife sanctuary,4.0,merely 22km away kakinada beach coringa wildlife sanctuary well estuary home many 35 species mangrove plants 120 species rare birds innumerable species flora sanctuary also famous home critically endangered whitebacked,,andhra pradesh,,"['merely', '22km', 'away', 'kakinada', 'beach', 'coringa', 'wildlife', 'sanctuary', 'well', 'estuary', 'home', 'many', '35', 'species', 'mangrove', 'plants', '120', 'species', 'rare', 'birds', 'innumerable', 'species', 'flora', 'sanctuary', 'also', 'famous', 'home', 'critically', 'endangered', 'whitebacked']"
maredumilli,4.0,part one premium ecotourism projects country maredumilli terrain undulating plains evergreen forests rich biodiversity located east godavari district andhra pradesh known rivers ravines lush greeneries maredumilli paradise,,andhra pradesh,,"['part', 'one', 'premium', 'ecotourism', 'projects', 'country', 'maredumilli', 'terrain', 'undulating', 'plains', 'evergreen', 'forests', 'rich', 'biodiversity', 'located', 'east', 'godavari', 'district', 'andhra', 'pradesh', 'known', 'rivers', 'ravines', 'lush', 'greeneries', 'maredumilli', 'paradise']"
draksharamam,3.5,located eastern bank godavari draksharamam temple one five powerful prominent temples dedicated lord shiva country 40kms away rajahmundry temple architecture dates back 11th century draksharamam perfect religious pilgrimage scenery,,andhra pradesh,,"['located', 'eastern', 'bank', 'godavari', 'draksharamam', 'temple', 'one', 'five', 'powerful', 'prominent', 'temples', 'dedicated', 'lord', 'shiva', 'country', '40kms', 'away', 'rajahmundry', 'temple', 'architecture', 'dates', 'back', '11th', 'century', 'draksharamam', 'perfect', 'religious', 'pilgrimage', 'scenery']"
oravakallu rock garden,3.5,ordinary landscapes kurnool one fascinating stretch park igneous rock formations find restaurant small ponds boating facilities cave museum less ordinary hiking area bit unusual picnic spot one must visit area kurnool,,andhra pradesh,,"['ordinary', 'landscapes', 'kurnool', 'one', 'fascinating', 'stretch', 'park', 'igneous', 'rock', 'formations', 'find', 'restaurant', 'small', 'ponds', 'boating', 'facilities', 'cave', 'museum', 'less', 'ordinary', 'hiking', 'area', 'bit', 'unusual', 'picnic', 'spot', 'one', 'must', 'visit', 'area', 'kurnool']"
ahobilam temple,3.4,ahobilam small village renowned lord narasimha swamy temple ahobilam temple dedicated lord lakshmi narasimha swamy temple complex temples adi lakshmi devi temple chenchu lakshmi devi temple nine forms deity worshipped ahob,,andhra pradesh,,"['ahobilam', 'small', 'village', 'renowned', 'lord', 'narasimha', 'swamy', 'temple', 'ahobilam', 'temple', 'dedicated', 'lord', 'lakshmi', 'narasimha', 'swamy', 'temple', 'complex', 'temples', 'adi', 'lakshmi', 'devi', 'temple', 'chenchu', 'lakshmi', 'devi', 'temple', 'nine', 'forms', 'deity', 'worshipped', 'ahob']"
rayadurg,,built height 2727 feet sea level rayadurg town packed brim monuments harbouring rich cultural heritage located karnataka border small town draws tourists country,,andhra pradesh,,"['built', 'height', '2727', 'feet', 'sea', 'level', 'rayadurg', 'town', 'packed', 'brim', 'monuments', 'harbouring', 'rich', 'cultural', 'heritage', 'located', 'karnataka', 'border', 'small', 'town', 'draws', 'tourists', 'country']"
kaigal falls,,situated district chittoor andhra pradesh kaigal fall nestled amidst koundinya wildlife sanctuary kaigal waterfall derives name village kaigal surrounds,,andhra pradesh,,"['situated', 'district', 'chittoor', 'andhra', 'pradesh', 'kaigal', 'fall', 'nestled', 'amidst', 'koundinya', 'wildlife', 'sanctuary', 'kaigal', 'waterfall', 'derives', 'name', 'village', 'kaigal', 'surrounds']"
tadipatri,,ancient temples relics centuries back await within temples tadipatri built golden years vijaynagar empire retreat situated western side andhra pradesh guaranteed leave visitor enchanted,,andhra pradesh,,"['ancient', 'temples', 'relics', 'centuries', 'back', 'await', 'within', 'temples', 'tadipatri', 'built', 'golden', 'years', 'vijaynagar', 'empire', 'retreat', 'situated', 'western', 'side', 'andhra', 'pradesh', 'guaranteed', 'leave', 'visitor', 'enchanted']"
nagalapuram,,hidden like jewel behind lush green forests andhra pradesh lies serene tranquil place named nagalapuram also known nagala hills famous various adventurous activities proffered scenic village nagalpuram also known housing nagalpuram falls group,,andhra pradesh,,"['hidden', 'like', 'jewel', 'behind', 'lush', 'green', 'forests', 'andhra', 'pradesh', 'lies', 'serene', 'tranquil', 'place', 'named', 'nagalapuram', 'also', 'known', 'nagala', 'hills', 'famous', 'various', 'adventurous', 'activities', 'proffered', 'scenic', 'village', 'nagalpuram', 'also', 'known', 'housing', 'nagalpuram', 'falls', 'group']"
chirala beach,,also known “ ksheerapuri ” peaceful town chirala located prakasam district andhra pradesh founded minchala paleti papayya minchala paleti perayya chirala exclusively famous quiet beaches splendid panoramic view extremely hospitable people also famou,,andhra pradesh,,"['also', 'known', '“', 'ksheerapuri', '”', 'peaceful', 'town', 'chirala', 'located', 'prakasam', 'district', 'andhra', 'pradesh', 'founded', 'minchala', 'paleti', 'papayya', 'minchala', 'paleti', 'perayya', 'chirala', 'exclusively', 'famous', 'quiet', 'beaches', 'splendid', 'panoramic', 'view', 'extremely', 'hospitable', 'people', 'also', 'famou']"
tawang,4.8,located amidst majestic himalayas arunachal pradesh tawang stands captivating destination steeped natural beauty cultural heritage renowned birthplace 6th dalai lama tsangyang gyatso breathtaking landscapes including snowcapped peaks alpine mea,march - june; september - october,arunachal pradesh,12,"['located', 'amidst', 'majestic', 'himalayas', 'arunachal', 'pradesh', 'tawang', 'stands', 'captivating', 'destination', 'steeped', 'natural', 'beauty', 'cultural', 'heritage', 'renowned', 'birthplace', '6th', 'dalai', 'lama', 'tsangyang', 'gyatso', 'breathtaking', 'landscapes', 'including', 'snowcapped', 'peaks', 'alpine', 'mea']"
ziro,4.6,located picturesque state arunachal pradesh ziro tranquil valley town renowned stunning landscapes rich cultural heritage vibrant festivals situated approximately 115 kilometers capital city itanagar ziro captivates visitors lush greenery sprawli,september - november ; march - may,arunachal pradesh,9,"['located', 'picturesque', 'state', 'arunachal', 'pradesh', 'ziro', 'tranquil', 'valley', 'town', 'renowned', 'stunning', 'landscapes', 'rich', 'cultural', 'heritage', 'vibrant', 'festivals', 'situated', 'approximately', '115', 'kilometers', 'capital', 'city', 'itanagar', 'ziro', 'captivates', 'visitors', 'lush', 'greenery', 'sprawli']"
namdapha national park,4.3,third largest national park country areawise namdapha national park located arunachal pradesh namdapha national park gem wildlife nature lover altitude varying 200 meters 4500 meters rare endangered animal plant spe,,arunachal pradesh,,"['third', 'largest', 'national', 'park', 'country', 'areawise', 'namdapha', 'national', 'park', 'located', 'arunachal', 'pradesh', 'namdapha', 'national', 'park', 'gem', 'wildlife', 'nature', 'lover', 'altitude', 'varying', '200', 'meters', '4500', 'meters', 'rare', 'endangered', 'animal', 'plant', 'spe']"
sela pass,4.2,one breathtaking places himalayan vista sela pass lifeline people arunachal pradesh heavenly gets sela pass himalayas combine enchant one mystic beauty one stunning gifts nature northeas,,arunachal pradesh,,"['one', 'breathtaking', 'places', 'himalayan', 'vista', 'sela', 'pass', 'lifeline', 'people', 'arunachal', 'pradesh', 'heavenly', 'gets', 'sela', 'pass', 'himalayas', 'combine', 'enchant', 'one', 'mystic', 'beauty', 'one', 'stunning', 'gifts', 'nature', 'northeas']"
bomdila,4.7,majestic himalayas bestowing shadow beautiful town bomdila offer area terrain sceneries views making area visual treat eyes wrapped around cool breeze pleasant climate area offer number,april to october,arunachal pradesh,8,"['majestic', 'himalayas', 'bestowing', 'shadow', 'beautiful', 'town', 'bomdila', 'offer', 'area', 'terrain', 'sceneries', 'views', 'making', 'area', 'visual', 'treat', 'eyes', 'wrapped', 'around', 'cool', 'breeze', 'pleasant', 'climate', 'area', 'offer', 'number']"
roing,4.2,snow peaked mountains deep gorges turbulent rivers cascading hills numerous waterfalls placid lakes archaeological sites peace fun loving hospitable people heavenly climate make roing one attractive destinations tourists,october to march,arunachal pradesh,11,"['snow', 'peaked', 'mountains', 'deep', 'gorges', 'turbulent', 'rivers', 'cascading', 'hills', 'numerous', 'waterfalls', 'placid', 'lakes', 'archaeological', 'sites', 'peace', 'fun', 'loving', 'hospitable', 'people', 'heavenly', 'climate', 'make', 'roing', 'one', 'attractive', 'destinations', 'tourists']"
itanagar,4.4,itanagar nestled foothills eastern himalayas bordered fertile brahmaputra river plains offers captivating blend natural beauty cultural heritage city boasts rich legacy heritage tribal culture attractions 15th century itafort lege,october to march,arunachal pradesh,11,"['itanagar', 'nestled', 'foothills', 'eastern', 'himalayas', 'bordered', 'fertile', 'brahmaputra', 'river', 'plains', 'offers', 'captivating', 'blend', 'natural', 'beauty', 'cultural', 'heritage', 'city', 'boasts', 'rich', 'legacy', 'heritage', 'tribal', 'culture', 'attractions', '15th', 'century', 'itafort', 'lege']"
tezu,4.3,tezu located lohit district arunachal pradesh charming town known scenic beauty cultural diversity surrounded picturesque hills lohit river tezu offers visitors access stunning natural landscapes including nearby glow lake parshuram kund sacre,,arunachal pradesh,,"['tezu', 'located', 'lohit', 'district', 'arunachal', 'pradesh', 'charming', 'town', 'known', 'scenic', 'beauty', 'cultural', 'diversity', 'surrounded', 'picturesque', 'hills', 'lohit', 'river', 'tezu', 'offers', 'visitors', 'access', 'stunning', 'natural', 'landscapes', 'including', 'nearby', 'glow', 'lake', 'parshuram', 'kund', 'sacre']"
dirang,4.4,situated journey tawang bomdila arunachal pradesh dirang overlooked quaint hamlet evolved beautiful little town scenic setting bucolic charm set along banks dirang river famous hot water springs h,november to february,arunachal pradesh,6,"['situated', 'journey', 'tawang', 'bomdila', 'arunachal', 'pradesh', 'dirang', 'overlooked', 'quaint', 'hamlet', 'evolved', 'beautiful', 'little', 'town', 'scenic', 'setting', 'bucolic', 'charm', 'set', 'along', 'banks', 'dirang', 'river', 'famous', 'hot', 'water', 'springs', 'h']"
pasighat,4.0,home river brahmaputra transcends tibet pasighat known gateway arunachal pradesh pure heaven nature lovers looking adrenaline rush also great place adventure activities like white river rafting boating anglin,october to may,arunachal pradesh,5,"['home', 'river', 'brahmaputra', 'transcends', 'tibet', 'pasighat', 'known', 'gateway', 'arunachal', 'pradesh', 'pure', 'heaven', 'nature', 'lovers', 'looking', 'adrenaline', 'rush', 'also', 'great', 'place', 'adventure', 'activities', 'like', 'white', 'river', 'rafting', 'boating', 'anglin']"
aalo,4.1,formerly known along town aalo functions headquarters west siang district arunachal pradesh lying close several tiny villages small town situated congregation two rivers sipu yomgo mechuka valley among beautiful offbeat places,throughout the year,arunachal pradesh,7,"['formerly', 'known', 'along', 'town', 'aalo', 'functions', 'headquarters', 'west', 'siang', 'district', 'arunachal', 'pradesh', 'lying', 'close', 'several', 'tiny', 'villages', 'small', 'town', 'situated', 'congregation', 'two', 'rivers', 'sipu', 'yomgo', 'mechuka', 'valley', 'among', 'beautiful', 'offbeat', 'places']"
nuranang falls,4.3,nestled deep within forests tawang nuranang falls offers serene unspoiled experience hidden away bustling tourist trails cascading height approximately 100 meters magnificent waterfall also known jang falls bong bong falls pristine white veil,,arunachal pradesh,,"['nestled', 'deep', 'within', 'forests', 'tawang', 'nuranang', 'falls', 'offers', 'serene', 'unspoiled', 'experience', 'hidden', 'away', 'bustling', 'tourist', 'trails', 'cascading', 'height', 'approximately', '100', 'meters', 'magnificent', 'waterfall', 'also', 'known', 'jang', 'falls', 'bong', 'bong', 'falls', 'pristine', 'white', 'veil']"
tawang monastery,4.4,located amidst picturesque surroundings tawang monastery also known golden namgyal lhatse one gems arunachal pradesh perched height 3000 metres sea level recognised second largest monastery world first one lhasa th,,arunachal pradesh,,"['located', 'amidst', 'picturesque', 'surroundings', 'tawang', 'monastery', 'also', 'known', 'golden', 'namgyal', 'lhatse', 'one', 'gems', 'arunachal', 'pradesh', 'perched', 'height', '3000', 'metres', 'sea', 'level', 'recognised', 'second', 'largest', 'monastery', 'world', 'first', 'one', 'lhasa', 'th']"
