visiting_places,visiting_places_rating,distance_from_city_center,cities_name,city_rating,city_type,city_visit_time,no_of_tourist_attration,states_name,state_categories,state_visit_time
hinkar thirtha,3.1,20.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
gandhi hill,3.1,4.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
prakasam barrage,3.57,5.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
rajahmundry,3.1,134.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
mangalgiri,3.57,12.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
"amravati museum, vijayawada",3.57,32.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
sri ramalingeswara swami vari devasthanam,3.57,10.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
lenin statue,3.57,3.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
hazrat bal mosque,3.57,0.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
akkanna madanna caves,3.57,4.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
vmc disney land,3.57,4.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
gunadala matha shrine,3.57,1.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
haailand,3.57,19.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
iskcon vijayawada,3.57,6.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
rajiv gandhi park,3.57,4.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
ahobilam temple,3.4,37.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
"iskcon temple, anantapur",3.5,4.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
bugga ramalingeswara swami temple,3.1,51.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
penukonda fort,3.1,67.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
thimmamma marrimanu,3.6,107.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
gooty fort,3.1,49.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
hanuman statue at mounagiri,3.1,34.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
rayadurg,3.57,80.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
veera bhadra temple,3.4,15.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
anantapur clock tower,3.4,0.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
shopping in anantapur,3.0,3.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
tadipatri,3.57,51.0,anantapur,3.5,historical type,autumn_to_winter,12.0,andhra pradesh,commercial_and_technological_state,winter
pathala ganga,3.4,2.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
srisailam tiger reserve,3.4,20.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
mallikarjuna swamy temple,3.5,0.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
akkamahadevi caves,3.4,10.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
srisailam dam,4.1,3.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
"shikaresvara temple, srisailam",3.1,6.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
bhramaramba devi temple,3.1,0.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
lingala gattu,3.1,5.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
hemareddy mallamma temple,3.1,1.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
shopping in srisailam,3.0,1.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
"sakshi ganapati temple, srisailam",3.1,2.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
chenchu lakshmi tribal museum,3.1,1.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
hathakesvara temple,3.1,3.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
octopus view point,3.57,5.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
paladhara panchadara,3.57,4.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
ista kameswari temple,3.57,12.0,srisailam,4.2,spiritual type,autumn_to_winter,16.0,andhra pradesh,commercial_and_technological_state,winter
the borra hills and caves,3.4,10.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
araku tribal museum,3.5,19.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
musi river,3.6,15.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
padmapuram gardens,3.1,20.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
dolphins nose,3.1,65.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
tyda park,3.1,17.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
lord anantha padmanabha temple,3.1,15.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
bhavanasi lake,3.1,15.0,ananthagiri hills,4.3,hilly type,autumn_to_winter,10.0,andhra pradesh,commercial_and_technological_state,winter
yaganti,4.2,54.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
belum caves,4.2,81.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
rollapadu wildlife sanctuary,4.2,35.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
konda reddy fort or kondareddy buruju,3.2,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
venugoplaswami temple,3.2,0.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
mantralayam,3.2,67.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
nagareswarasawami,3.2,0.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
ahobilam temple,3.57,108.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
oravakallu rock garden,3.5,20.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
tomb of abdul wahab,3.5,1.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
city shopping,3.0,0.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
buddha statue,3.7,1.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
saibaba temple,3.2,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
srs matha mantralayam,3.57,67.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
mahanandi,3.57,1.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
"sakshi ganapati temple, kurnool",3.57,93.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
nava narsimha temple,3.57,3.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
raghvendra swamy brindavana,3.57,67.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
"sai baba temple, kurnool",3.57,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
shivaji spoorthy kendra,3.57,93.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
"shikaresvara temple, kurnool",3.57,0.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
sri mahayogi laxmamma avva temple,3.57,85.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
jumma masjid,3.57,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
ranamandala konda,3.57,84.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
iswaraswami temple,3.57,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
sri ranganayaka swamy temple,3.57,3.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
adoni fort,3.57,84.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
kolanu bharathi saraswathi temple,3.57,55.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
nallamala forest,3.57,102.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
satyanarayana swamy temple,3.57,2.0,kurnool,4.6,rural type,autumn_to_winter,30.0,andhra pradesh,commercial_and_technological_state,winter
nagarjuna sagar dam and ethipothala falls,3.5,113.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
kondaveedu,3.1,20.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
uppalapadu nature conservation,3.1,8.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
kotappakonda trikutaparvattam,3.1,47.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
mangalagiri,3.6,20.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
"downtown, guntur",3.1,2.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
amaravathi,3.1,31.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
viswa nagar,3.1,2.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
krishna barrage,3.1,29.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
pongal,3.1,41.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
suryalanka beach,3.57,52.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
bhattiprolu,3.57,43.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
amaravati stupa,3.57,31.0,guntur,4.7,rural type,autumn_to_winter,13.0,andhra pradesh,commercial_and_technological_state,winter
ramalingeswara temple,3.1,4.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
narasimhaswamy temple,3.1,1.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
patu ru,3.1,55.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
ranganatha temple,3.4,4.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
mypadu beach,3.4,2.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
barah shaheed dargah,3.1,1.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
nelapattu bird sanctuary,3.6,73.0,nellore,4.7,rural type,autumn_to_winter,7.0,andhra pradesh,commercial_and_technological_state,winter
veerabhadra temple,4.1,1.0,lepakshi,4.2,spiritual type,autumn_to_winter,4.0,andhra pradesh,commercial_and_technological_state,winter
lepakshi temple,4.1,1.0,lepakshi,4.2,spiritual type,autumn_to_winter,4.0,andhra pradesh,commercial_and_technological_state,winter
nandi bull and paintings,3.4,2.0,lepakshi,4.2,spiritual type,autumn_to_winter,4.0,andhra pradesh,commercial_and_technological_state,winter
shopping in lepakshi,3.0,1.0,lepakshi,4.2,spiritual type,autumn_to_winter,4.0,andhra pradesh,commercial_and_technological_state,winter
sri venkateshwara national park,3.1,67.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
srikalahasti temple,3.6,88.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
nagalapuram,3.57,78.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
horsley hills,4.1,90.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
kailasakona waterfalls,3.4,68.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
kaigal falls,3.57,61.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
kanipakam vinayaka temple,4.1,10.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
shopping in chittoor,3.0,59.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
tirumala venkateshwara temple,3.5,53.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
mango market yard - bangarupalyam and penumur mandals and damalcheruvu,3.1,30.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
tada falls,3.57,91.0,chittoor,4.7,rural type,autumn_to_winter,11.0,andhra pradesh,commercial_and_technological_state,winter
coringa wildlife sanctuary,4.0,14.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
shri bhavanarayana swamy temple,3.3,7.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
pithapuram,3.5,17.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
shopping in kakinada,3.0,3.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
bhimesvara temple,3.0,13.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
uppada beach,3.57,1.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
draksharamam,3.5,27.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
adurru,3.0,62.0,kakinada,3.7,rural type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
srikalahasteeswara temple,3.5,2.0,srikalahasti,3.9,spiritual type,throughout_the_year,9.0,andhra pradesh,commercial_and_technological_state,winter
