visit_places,rating,city_names,visit_place_summary
9. Matsyadarshini Aquarium,"3.1
 /5","11 km  from city center 
 
 9 out of 27 Places To Visit in Visakhapatnam","An initiative of the Visakhapatnam Municipal Corporation, Matsyadarshini is a beautiful aquarium and houses countless species of fresh and salt water marine life captured in glass tanks."
10. Indira Gandhi Zoological Park,"3.6
 /5","16 km  from city center 
 
 10 out of 27 Places To Visit in Visakhapatnam","The Indira Gandhi Zoological Park is located amidst the Kambalakonda Reserve Forest in Visakhapatnam, Andhra Pradesh. Declared open to the public on 19 May 1977, the Park now offers a number of exhibits of more than 80 species of mammals, birds and reptiles. The Zoo Park has differentiated the  sections for primates, carnivores, lesser carnivores, small mammals, reptiles, ungulates and birds, all caged in their natural ambiance. Situated amidst the scenic Eastern Ghats of India, the Park is quite a pictueresque one."
11. VUDA Park (Taraka Rama),"3.1
 /5","14 km  from city center 
 
 11 out of 27 Places To Visit in Visakhapatnam","The Visakhapatnam Urban Development Authority or VUDA park, is a popular attraction in Visakhapatnam and a favorite amongst the tourists. One of its main attractions, here, is a musical waterfall."
12. Simhachalam Temple,"3.6
 /5","9 km  from city center 
 
 12 out of 27 Places To Visit in Visakhapatnam","As per the belief of the Hindu religion, an east facing entrance brings luck and prosperity while the west one brings victory and luckily the Simhachalam temple faces west. The temple is situated among hills covered with cashew trees, shrubs, and mango groves. Many pilgrims undertake a journey to the hill on important and auspicious days. Neighbourhoods near the pilgrimage include Srinivasanagar, Prahladapuram, Sainagar colony, Simhapuri colony, and Simhapuri Layout. The journey often extends into the night, as the route is around 40 kilometres. Pilgrims visit the temple to bestow their offerings to the auspicious deities."
13. Lambasingi,,"78 km  from city center 
 
 13 out of 27 Places To Visit in Visakhapatnam","Fondly called the ‘Kashmir of Andhra Pradesh’, Lambasingi is a quaint hamlet nestled in Chintapalli Mandal in the richly forested Arakku Valley at an elevation of 1025 m above the sea level. On of the best kept secrets of Andhra Pradesh, the dainty village is known for its majestic hills, apple orchards and panoramic views of the adjoining valleys. Also known as Korra Bayalu, the village is the only place in all of South India that experiences snowfall as the temperatures drop significantly. Besides abundant natural beauty and the gorgeous views if the towering hills and meandering rivers, the village also offers a plethora of adventure activities that you can try your hand at. So if you are looking for chilling temperature, pale mists, colourful gardens and prolific natural beauty, you know where to head to."
14. Bheemili Beach,"3.1
 /5","34 km  from city center 
 
 14 out of 27 Places To Visit in Visakhapatnam","The long beautiful and pristine Bheemunipatnam Beach is located at the assemblage of Gosthani River and the Bay of Bengal. It also houses the remains of a 17th century fort and cemetery, reveling history dating back to the Dutch era."
15. War memorial,"3.1
 /5","13 km  from city center 
 
 15 out of 27 Places To Visit in Visakhapatnam","This memorial is dedicated to the 'Victory at Sea', during the Indo-Pak war in 1971. A renowned War memorial, it is located in Vizag on the left of the beach road and facing the submarine museum. Many war related materials are displayed here, including a fighter plane, missiles, few bombs and a tank."
16. Lawson's Bay Beach,"3.1
 /5","14 km  from city center 
 
 16 out of 27 Places To Visit in Visakhapatnam","Lawson's Bay beach is considered an extension of Ramakrishan beach more than often. It is a calm, serene and secluded stretch with lush greenery and  whitish sands. The majestic sea with shallow crystal clear water and calm waves here is ideal for swimming, sun bathing and surfing."
17. Kambalakonda Wildlife Sanctuary,"3.1
 /5","16 km  from city center 
 
 17 out of 27 Places To Visit in Visakhapatnam",Kambalakonda Wildlife Sanctuary is located on the outskirts of Visakhapatnam and is a perfect example of natural harmony between the dry seasonal forest and the evergreen meadows.
18. Bojjannakonda,,"10 km  from city center 
 
 18 out of 27 Places To Visit in Visakhapatnam",Bojjannakonda is a small group of six rock-cut caves that has beautifully carved statues of Gautam Buddha which draw tourists and believers for its aesthetic and religious importance. The caves nearby also have stupas where Buddhist monks would meditate.
19. Ross Hill Church,,"7 km  from city center 
 
 19 out of 27 Places To Visit in Visakhapatnam",Ross Hill Church is a splendid attraction that draws tourists and religious followers in large numbers. It is one of the few locations that can be climbed to get a fabulous view of the quaint city and the Port area. The attraction is frequently visited by photographers and nature lovers especially to view the beautiful sunrises and sunsets. Ross Hill Church has a beautiful architecture and a serene vibe that will hit the pause button to the endless mind chatter at least for a few moments. Tourists can explore the church and attend the prayer services/ mass if they choose to.
20. Sagar Nagar Beach,,"17 km  from city center 
 
 20 out of 27 Places To Visit in Visakhapatnam","Located in the quaint neighborhood of Sagar Nagar in the city of Visakhapatnam in Andhra Pradesh, Sagar Nagar beach is situated on the coast of the Bay of Bengal. Considered to be one of the most popular tourist spots in the city, the beach reverberates with tranquility and serenity. The beach is known for its golden sands, mesmerising sunsets and utter peace, all in the absence of commercial crowds or touristy pollution."
21. TU 142 Aircraft Museum,,21 out of 27 Places To Visit in Visakhapatnam,"The TU-142M aircraft of The Indian Navy served for 29 years before it was decommissioned and placed at the Visakhapatnam beach sea and converted into a museum. Located opposite the Submarine Museum, TU 142 Museum has been one of the most popular tourist locations in the area."
22. Tenneti Park,,"15 km  from city center 
 
 22 out of 27 Places To Visit in Visakhapatnam","Tenenti, an urban park, is located in close vicinity to the Bay of Bengal at Jodugullapalem in Visakhapatnam. It has recently been renovated for tourism purposes. In addition, one of the city's oldest parks, Tenneti, was destroyed in a cyclone Hudhud in 2014 and was reconstructed according to international standards."
23. Buddhist Excavation,"3.1
 /5","26 km  from city center 
 
 23 out of 27 Places To Visit in Visakhapatnam","Havi Konda, Thotla Konda, Bojjana Konda, and Salihundam located around Visakhapatnam were places of Buddhist excavations. The excavations of 1906 that took place have brought out many Buddhist monuments such as stupas and chaityas."
24. Gangavaram beach,"3.1
 /5","8 km  from city center 
 
 24 out of 27 Places To Visit in Visakhapatnam","One of the most beautiful beaches of the town, this one with palm trees and picture perfect sceneries attracts many film and TV serial makers. This beach with soft sands and cool breeze always provides a secluded atmosphere."
25. City Shopping,"3.0
 /5","34 km  from city center 
 
 25 out of 27 Places To Visit in Visakhapatnam","Waltair Uplands Road, Jagadamba Junction, CMR Central, Lepakshi Emporium etc tend t be the favorites for shopping in Vizag. The city is famous for its saris and varieties like Pochampalli, Ikat and a few more are almost essentials."
26. Victory at Sea War Memorial,,"13 km  from city center 
 
 26 out of 27 Places To Visit in Visakhapatnam",Victory at Sea War Memorial is located on Beach road and is frequently visited by tourists on their way to the beach. The monument has a pyre lit 24x7 in honour of the Indian martyrs. The well maintained monument often generates a sense of patriotism and pride in our countrymen who fight selflessly for the safety of our citizens.
27. Itika Pongal,,27 out of 27 Places To Visit in Visakhapatnam,"The native tribal community of Araku Valley in Andhra Pradesh celebrates a hunting festival during April of the Gregorian calendar each year. The name of the festival is 'Itika Pongal,' which is similar to hunting festivals of other tribal communities, such as the 'Jani Shikar' of Jharkhand. The 'Itika Pongal' festival serves as a perfect occasion to witness the tribal culture of Andhra Pradesh in its purest form when the women of the tribe perform their native dance form, known as 'Dhimsa'."
"1. Amareswara Temple, Amaravathi",,,
"2. Amravati Museum, Amaravathi",,,
3. Dhyana Buddha Statue,,,
4. Amaravathi Mahachaitya,,,
1. Hike to Pennar Gorge Viewpoint,,,
2. Explore Gandikota Fort,,,
3. Camping at Gandikota,,,
4. Adventure Activities,,,
5. Jamia Masjid,,,
6. Raghunathaswamy Temple,,,
1. Sri Venkateswara Temple,"3.5
 /5","1 km  from city center 
 
 1 out of 40 Places To Visit in Tirupati",Sri Venkateshwara Temple is the most revered and celebrated temple of the temple town of Tirupati having tourists and pilgrims flooding in all year long.
2. Akasaganga Teertham,"3.1
 /5","12 km  from city center 
 
 2 out of 40 Places To Visit in Tirupati","Akasaganga Teertham is a waterfall in Tirupati, located at a distance of 3 km from the main temple. The waterfall has water flowing all throughout the year and holds immense religious significance."
3. Silathoranam,"3.1
 /5","11 km  from city center 
 
 3 out of 40 Places To Visit in Tirupati","One of the natural marvels that history left behind, the Silathoranam, now, finds itself being an important landmark in archaeology and heritage. This is a natural rock formation, one of the only three of this kind in the world."
4. Swami Pushkarini Lake,"3.1
 /5","0 km  from city center 
 
 4 out of 40 Places To Visit in Tirupati","Almost neighboring the Sri Venkateshwara Temple, is Swami Pushkarini Lake. According to the legends, the lake belonged to Lord Vishnu and was located in Vaikuntham."
5. City Shopping,"2.9
 /5","1 km  from city center 
 
 5 out of 40 Places To Visit in Tirupati","While in Tirupati one can shop for religious items such as idols, pendants, paintings and images. Another popular item here are wooden replicas of Lord Tirumala, found in varied sizes."
6. Vedadri Narasimha Swamy Temple,"3.1
 /5",6 out of 40 Places To Visit in Tirupati,"This temple lies at a distance of 70 km from Tirupati and was constructed by Sir Krishna Deva Raya. It holds great mythological importance and is believed to be the site where Lord Vishnu battled with Rasksash Somakadu, won and took over the vedas from him."
7. Sri Padmavathi Ammavari Temple,"3.1
 /5","1 km  from city center 
 
 7 out of 40 Places To Visit in Tirupati","At a little distance from the main city area, one finds the Sri Padmavathi Ammavari Temple dedicated to Goddess Padmavathi. One of the many sacred structures of Tirupati, this one is home to many legends and stories about the Goddess."
8. TTD gardens,"3.1
 /5","4 km  from city center 
 
 8 out of 40 Places To Visit in Tirupati","Spreading over an area of 460 acres, the TTD gardens in Tirupati are known for their ornately decorated and manicured flower gardens. Alongside its lush green beauty, the garden also includes Alwar Tank, Mangalabhavi and Ananthapalligunta."
9. Chittoor,"3.1
 /5","57 km  from city center 
 
 9 out of 40 Places To Visit in Tirupati","At around 72 km away from Tirupati, Chittoor or Chittur is a temple town and enshrines many deities. Some of the famous temples include Varasiddi Vinayaka Swamy Temple, Subramanya Swamy Temple, Durgamma Gudi and Sai baba Temple."
10. Sri Venkateswara Dhyana Vignan Mandiram,"3.2
 /5","56 km  from city center 
 
 10 out of 40 Places To Visit in Tirupati","Established in the year 1980, the Sri Venkateswara Dhyana Vignan Mandiram in Tirupati is a museum that houses some of the most traditional articles that are used to perform Puja."
11. Sri Govindarajaswami Temple,,"0 km  from city center 
 
 11 out of 40 Places To Visit in Tirupati","Sri Govindarajaswami Temple is a 12th century Hindu Vaishnavite shrine built by Saint Ramanujacharya and is one of the biggest temple complexes in the district. The presiding deity is Lord Vishnu, also called Govindarajaswami. The beautiful traditional Dravidian architecture and its rich culture attract tourists in quite a large number every year."
12. Sri Varahaswami Temple,"3.1
 /5","10 km  from city center 
 
 12 out of 40 Places To Visit in Tirupati","Standing to the north of Sri Venkateswara Temple is the Sri Varahaswami Temple which according to a lot, is said to belong to Sri Adi varahaswami. Various legends surround this temple."
13. Sri Venugopalaswami Temple,"3.1
 /5","24 km  from city center 
 
 13 out of 40 Places To Visit in Tirupati","A little away from the city of Tirupati, this temple is devoted to Lord Venugopalan. With the highlights being an idol of Sri Sita Ramula Pattabhishekam, it's a must visit area, when in Tirupati."
14. Nellore,"3.1
 /5","12 km  from city center 
 
 14 out of 40 Places To Visit in Tirupati","Located 130km southwest of Tirupati is the fascinating city of Nellore. Nellore is known for its pristine and clean beaches, the most notable ones being Kodur(You can boat here and catch a fish if lucky! Velangani Maatha Church lies next to the sea shore."
15. ISKCON Tirupati,,"2 km  from city center 
 
 15 out of 40 Places To Visit in Tirupati","Located at the foothills of Tirumala Hills, ISKCON Tirupati is one of the most famous pilgrimages in the city. Srila Prabhupada, during his visit in 1974, suggested the teachings from Bhagwad Geeta be propagated by establishing a centre of Vedic Culture. ISKCON Tirupati was thus established in 1982 to revive the messages of Lord Krishna. It is believed to be the only way to bring about peace and harmony in the world."
16. Tumburu Teertham,,"8 km  from city center 
 
 16 out of 40 Places To Visit in Tirupati",Tumbhuru Teertham is a sacred lake located amidst dense natural vegetation. The waters are believed to have magical powers and can absolve one's sins and help them attain moksha. The attraction is also famous for its natural beauty and is frequented by nature lovers for nature walks.
"17. Deer Park, Tirupati",,"5 km  from city center 
 
 17 out of 40 Places To Visit in Tirupati","Located amidst the beautiful natural surroundings, the Deer Park is a splendid escape from the routine for nature and animal lovers. The park houses a large number of deer and other regional flora and fauna. Tourists on their way to Tirumala often take a pit stop here and spend a few hours in the company of the deer, feed them and also watch them thrive in their natural habitat."
18. Kapila Teertham,,"2 km  from city center 
 
 18 out of 40 Places To Visit in Tirupati","A Shaivite temple, Kapila Teertham is a famous pilgrimage in the city. The temple is located at the entrance of a mountain cave at the foothills of Tirumala Hills and is a marvellous example of Dravidian architecture. The presiding deity is Lord Shiva who is locally known as Lord Kapileshwara. The idol of the deity was installed by Kapila Muni."
19. Talakona Waterfall,,"30 km  from city center 
 
 19 out of 40 Places To Visit in Tirupati","Located in Sri Venkateswara National Park, Talakona Waterfall is the highest waterfall in the region and a famous picnic spot. The water is believed to have medicinal properties and comes from an unknown underground stream. The attraction is also famous for trekking and has several trekking routes running around it amidst the scenic natural surroundings."
"20. Rock Garden, Tirupati",,"11 km  from city center 
 
 20 out of 40 Places To Visit in Tirupati","Also known as Silathoranam, the Rock Garden in the city is a natural stone formation in the shape of an arch. It is a Pre-Cambrian natural formation and is the only such found on the continent. Many believe that it is over this arch that Lord Venkateswara walked while he was on his way to Tirumala from Vaikunt. It is a protected monument and tourists visit in large numbers to see this natural formation."
21. Japali Teertham,,"12 km  from city center 
 
 21 out of 40 Places To Visit in Tirupati",Japali Teertham is dedicated to Lord Hanuman and is situated amidst dense forests. It is believed that Lord Hanuman used to visit the location often to quiet his kind and soak in peace. It is also believed that Lord Rama and Goddess Sita stayed here. The water of the Teertham is said to have magical powers and can wash away all the sins a human has made.
22. Papavinasam Theertham,,"3 km  from city center 
 
 22 out of 40 Places To Visit in Tirupati",Papavinasam Teertham is a sacred attraction in the region. Taking a dip in the holy waters of the teertham is considered to absolve one of their sins. The attraction also is famous for its scenic beauty. The route that leads to Papavinasam Teertham goes through uneven rocky trails amidst beautiful surroundings making it a perfect location for nature walks.
23. Chandragiri Palace & Fort,,"13 km  from city center 
 
 23 out of 40 Places To Visit in Tirupati",Chandragiri Palace & Fort is an 11th century monument built by the Yadav Naidu Kings and is also associated with the Vijayanagara Kingdom. The stunning structure is a perfect example of Vijayanagara architecture. Tourists are drawn by its rich history and heritage value. The attraction has fortnightly light and sound shows and the annual celebration of Madras Day.
24. Sri Bedi Ananjaneyaswami Temple,,"10 km  from city center 
 
 24 out of 40 Places To Visit in Tirupati",Sri Bedi Ananjaneyaswami Temple is dedicated to Lord Hanuman. A legend states that Lord Hanuman wanted to go searching for a Camel but his mother tied him with bedis and went back to Akash Ganga. Many believe Lord Hanuman can be seen even today standing at that very location.
25. Chakra Teertham Waterfalls,,"11 km  from city center 
 
 25 out of 40 Places To Visit in Tirupati",Chakra Teertham Waterfalls is a famous water body considered to have high religious importance. It is believed that Lord Brahma performed penance at this location which was later cleansed by Lord Vishnu with his Sudarshan Chakra. The place where his Chakra fell is known as Chakra Teertham. The water is said to have healing powers and can absolve one of their sins.
26. Sri Venkateswara National Park,,"6 km  from city center 
 
 26 out of 40 Places To Visit in Tirupati","Sri Venkateswara National Park is a bioreserve that occupies over 350 square kilometres of the area on the Eastern Ghats of India. The park is well known for several waterfalls and a high level of biodiversity. It has fantastic topographical features and natural landscape, hence is a favourite attraction for nature and animal lovers."
27. Srivari Museum,,"10 km  from city center 
 
 27 out of 40 Places To Visit in Tirupati","Sri Vari Museum is a famous attraction to get a glimpse into the religious history of the region. The museum has an impressive collection of artefacts that give insights into the ancient history and architecture of the temple that includes sculptures, photographs, scriptures, temple and pooja utensils, etc."
28. Sri Veda Nayaranaswami Temple,,"49 km  from city center 
 
 28 out of 40 Places To Visit in Tirupati","Sri Veda Nayaranaswami Temple is dedicated to the supreme God, Lord Vishnu. It is one of the few temples in the country that depict the incarnations of Lord Vishnu whose prime form, Matsya or the fish is also depicted. This is the place where Vishnu defeated demon Somaka and took the form of a fish to retrieve the Vedas thrown in the water by the demon."
29. Srivari Padalu,,"11 km  from city center 
 
 29 out of 40 Places To Visit in Tirupati","Situated on top of Narayangiri Hill amidst beautiful scenery, Srivari Padalu is believed to be the place where Lord Narayan first set his foot on earth. It is an important pilgrimage and visitors flock in large numbers to offer prayers to the footprints of Lord Narayan."
"30. Regional Science Centre, Tirupati",,"3 km  from city center 
 
 30 out of 40 Places To Visit in Tirupati","Regional Science Centre is a famous planetarium built with latest digital technology. They have a marvellous sky observation deck, galleries, parks and equipment of the highest quality. The centre also holds several demonstrations, exhibitions and shows in schools and institutes through their mobile science exhibition."
31. Kanipakam,,"29 km  from city center 
 
 31 out of 40 Places To Visit in Tirupati","Kanipakam is a village in the district most famous for the Kanipakam Vinayak Temple, built in the 11th century by King Mahavarman Sundara Pandian and for the Shiva Temple which was built by King Kullotunga Chola. The rich religious significance of the temples and the stunning ancient architecture attracts visitors in large numbers each year."
32. Vaikuntha Teertham,,"112 km  from city center 
 
 32 out of 40 Places To Visit in Tirupati","Considered a sacred waterfall, Vaikuntha Teertham is associated with the legend of Ramayana. It is believed that Lord Rama's vanarsena located the teertham. A dip in the holy waters is considered to bring luck, good fortune and absolve one of their sins."
33. Sri Kalyana Venkateswaraswami Temple,,"1 km  from city center 
 
 33 out of 40 Places To Visit in Tirupati","Sri Kalyana Venkateswaraswami Temple is an ancient Vaishnavite temple, also considered an archaeologically important monument in India. The presiding deity is Lord Venkateswara, who is considered to be highly powerful and can absolve one of their sins, doshas and get rid of any obstacles they face in their lives."
34. Nagalapuram,,"49 km  from city center 
 
 34 out of 40 Places To Visit in Tirupati","Hidden like a jewel behind the lush green forests of Andhra Pradesh lies a serene and tranquil place named Nagalapuram.  Also known as Nagala Hills, it is famous for its various adventurous activities. Nagalpuram is also known for housing the Nagalpuram Falls. A group of 3 waterfalls, it offers a great trekking opportunity and a stunning panoramic view."
35. Sri Prasanna Venkateswaraswami Temple,,"12 km  from city center 
 
 35 out of 40 Places To Visit in Tirupati","Sri Prasanna Venkateswaraswami Temple is an ancient shrine dedicated to Lord Venkateswara. The Dravidian temple architecture, the magnificent idol of the presiding deity and the divine vibe attract visitors daily. It is a believed that offering prayers to the deity here relieves one of doshas or sins and removes obstacles one faces while achieving their goals."
36. Kapila Theertham,,"3 km  from city center 
 
 36 out of 40 Places To Visit in Tirupati","At a distance of 4 kms from the city centre, Kapila Theertham is a popular waterfalls situated inside the premises of Kapileswara Swamy Temple at the base of Sheshadari Hills. The water cascading down of 100 metres to form a pool at the base is a gorgeously enchanting sight to see."
37. Highway Grand World,,"41 km  from city center 
 
 37 out of 40 Places To Visit in Tirupati","Situated on Chennai - Thiruttani - Renigunta Hwy, Veerakaverirajupuram near Tirupati, Highway Grand World is a grand water park in Tirupati. The water park also hosts private parties, weddings, work gatherings and school group trips."
38. Teppotsavam,,38 out of 40 Places To Visit in Tirupati,"Tirumala Tirupati Teppotsavam otherwise called as the float festival is one of the most popular boat festival held at the Krishna Temple at Tirupati. Falling every year in the month of Chaitra (March) according to the Hindu Calendar, the celebrations are held on a grand scale for five days. Amidst the chants hailing Lord Govinda, the Teppotsavam is a spectacular display of culture, religion, tradition and devotion of devotees."
39. Brahmotsavam Festival in Tirupati,,39 out of 40 Places To Visit in Tirupati,"The Tirumala Venkateswara temple, along with being the richest temple, is also the most visited place of worship in the world. Built in the 8th century, this temple witnesses about 50,000-100,000 pilgrimage visits daily. During the Brahmostav Festival in September, the temple is visited by about a million devotees in the span of a week. The festival takes place over a span of nine days and is also termed Brahma's Utsavam or Lord Brahma's festival. In 2024, it will be held from 3rd October to 11th October."
40. Kodandarama Swamy Temple,,"1 km  from city center 
 
 40 out of 40 Places To Visit in Tirupati","The Sri Kodandarama Swamy Temple or Kodandarama Temple is a temple in the heart of Tirupati, dedicated to Lord Rama. The Varaha Purana suggests that Lord Rama, Sita Devi and Lakshmana stayed here when returning to Ayodhya from Lanka. Built by the Cholas in tenth century CE, this temple commemorates their stay here. While Ugadi and Ram Navami are celebrated on a grander scale, Brahmotsav is also celebrated here every year. There is a sub-shrine dedicated to Anjaneya, the mount of Lord Rama."
1. Bhavani Island,"4.1
 /5","9 km  from city center 
 
 1 out of 24 Places To Visit in Vijayawada","The largest island in the Krishna River, the Bhavani island is a favorite of all its visitors and home to numerous activities, to give you an ideal holiday experience."
2. Kanaka Durga Temple,"4.1
 /5","3 km  from city center 
 
 2 out of 24 Places To Visit in Vijayawada","The Kanaka Durga Temple is a famous shrine dedicated to the Goddess Durga. Located in Vijayawada district of Andhra Pradesh, this astounding architecture is built in Dravidian fashion. The temple is surrounded by the hills of Inrakeeladri, right along the banks of the Krishna River. The temple finds mention in many sacred texts and Vedic literature as well and is a revered temple among devotees and followers. People visit this temple every year to show their respect and devotion to the Goddess Supreme and seek her blessings. The temple has detailed timings and rules of darshans and seva opportunities which can be booked online on their website. The temple also runs a food donation programme as a part of their many charitable activities."
3. Undavalli Caves,"4.2
 /5","7 km  from city center 
 
 3 out of 24 Places To Visit in Vijayawada","Elaborate caves, form the 7th century, the Undavalli Caves are 4-stories high and hold a majestic and sprawling statue of Lord Shiva, carved out of a single piece of granite."
4. Kondapalli Fort,"3.4
 /5","18 km  from city center 
 
 4 out of 24 Places To Visit in Vijayawada","A fort with roots in parallel histories, this one is said to have been built as a center of recreation, business and trade. The main entrance gate, carved out of a single boulder of granite is called the Dargah Darwaja."
5. Mogalarajapuram Caves,"3.1
 /5","11 km  from city center 
 
 5 out of 24 Places To Visit in Vijayawada","These are ancient caves, dating back to 5th century and one of the most significant landmarks of the heritage of Vijayawada. Though a lot has been lost to ruins, the caves still hold religious and spiritual value as they house idols of Lord Nataraja and Lord Vinayaka amongst many more, a few cave temples and a shrine for Goddess Durga."
6. Subramanya Swamy Temple,"3.6
 /5","4 km  from city center 
 
 6 out of 24 Places To Visit in Vijayawada","Dedicated to the Lord of serpents Kartikeya, the Subramanya Swamy Temple is a shrine located in Vijayawada (Andhra Pradesh), set on the foot of the Indrakiladari Hills. The temple worships all three forms of Lord Subramanya- Sri Dandayudhapani Swamy as a boy, Sri Valli Devayanai- his original form and lastly in the form of a serpent. It is carved out of sparkling white stone with intricate stonework embellishing the facade. The temple also houses a silver covered Garuda pillar which holds great religious significance for the devotees. There is an anthill by the temple, the natural habitat of snakes, which is worshipped by the devotees with equal zeal and belief."
7. Victoria Museum,"3.1
 /5","2 km  from city center 
 
 7 out of 24 Places To Visit in Vijayawada","A museum of the Archaeology Department, this is a walk through imprints of time and all it left behind. Browse through a rich and ancient collection of sculptures, idols, inscriptions, paintings, cutlery and weapons."
8. Besant Road,"3.1
 /5","2 km  from city center 
 
 8 out of 24 Places To Visit in Vijayawada","The busiest trade centers of the city, bustling with activity and trade, Besant Road is a dynamic place in Vijayawada. The road has grown into a pivot of commercial hustle in recent times."
9. Amaravathi,"3.1
 /5","32 km  from city center 
 
 9 out of 24 Places To Visit in Vijayawada","About an hour away from Vijayawada is one of the most significant and sacred pilgrim center for Buddhists, in the country. Take a day trip to Amaravathi to witness the Largest Stupa of the country, built by Acharya Nagarjuna, 2000 years ago."
10. Hinkar Thirtha,"3.1
 /5","20 km  from city center 
 
 10 out of 24 Places To Visit in Vijayawada","One of the most renowned Jain temples, this structure houses the only Jain Shrine in the area. Adorned with the Jain style of architecture, this is also one of the most beautiful structures in town."
11. Gandhi Hill,"3.1
 /5","4 km  from city center 
 
 11 out of 24 Places To Visit in Vijayawada","The Gandhi Stupa, as it is better known, is a very famous tourist spot in Vijayawada that has been attracting hordes of tourists mainly due to a planetarium and the Light and Sound show depicting the life and teachings of Mahatma Gandhi."
