visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
kambalakonda wildlife sanctuary,3.1,visakhapatnam,kambalakonda wildlife sanctuary located outskirts visakhapatnam perfect example natural harmony dry seasonal forest evergreen meadows,16,"['kambalakonda', 'wildlife', 'sanctuary', 'located', 'outskirts', 'visakhapatnam', 'perfect', 'example', 'natural', 'harmony', 'dry', 'seasonal', 'forest', 'evergreen', 'meadows']"
bojjannakonda,,visakhapatnam,bojjannakonda small group six rockcut caves beautifully carved statues gautam buddha draw tourists believers aesthetic religious importance caves nearby also stupas buddhist monks would meditate,10,"['bojjannakonda', 'small', 'group', 'six', 'rockcut', 'caves', 'beautifully', 'carved', 'statues', 'gautam', 'buddha', 'draw', 'tourists', 'believers', 'aesthetic', 'religious', 'importance', 'caves', 'nearby', 'also', 'stupas', 'buddhist', 'monks', 'would', 'meditate']"
ross hill church,,visakhapatnam,ross hill church splendid attraction draws tourists religious followers large numbers one locations climbed get fabulous view quaint city port area attraction frequently visited photographers nature lovers especially view beautiful sunrises sunsets ross hill church beautiful architecture serene vibe hit pause button endless mind chatter least moments tourists explore church attend prayer services mass choose,7,"['ross', 'hill', 'church', 'splendid', 'attraction', 'draws', 'tourists', 'religious', 'followers', 'large', 'numbers', 'one', 'locations', 'climbed', 'get', 'fabulous', 'view', 'quaint', 'city', 'port', 'area', 'attraction', 'frequently', 'visited', 'photographers', 'nature', 'lovers', 'especially', 'view', 'beautiful', 'sunrises', 'sunsets', 'ross', 'hill', 'church', 'beautiful', 'architecture', 'serene', 'vibe', 'hit', 'pause', 'button', 'endless', 'mind', 'chatter', 'least', 'moments', 'tourists', 'explore', 'church', 'attend', 'prayer', 'services', 'mass', 'choose']"
sagar nagar beach,,visakhapatnam,located quaint neighborhood sagar nagar city visakhapatnam andhra pradesh sagar nagar beach situated coast bay bengal considered one popular tourist spots city beach reverberates tranquility serenity beach known golden sands mesmerising sunsets utter peace absence commercial crowds touristy pollution,17,"['located', 'quaint', 'neighborhood', 'sagar', 'nagar', 'city', 'visakhapatnam', 'andhra', 'pradesh', 'sagar', 'nagar', 'beach', 'situated', 'coast', 'bay', 'bengal', 'considered', 'one', 'popular', 'tourist', 'spots', 'city', 'beach', 'reverberates', 'tranquility', 'serenity', 'beach', 'known', 'golden', 'sands', 'mesmerising', 'sunsets', 'utter', 'peace', 'absence', 'commercial', 'crowds', 'touristy', 'pollution']"
tu 142 aircraft museum,,visakhapatnam,tu142m aircraft indian navy served 29 years decommissioned placed visakhapatnam beach sea converted museum located opposite submarine museum tu 142 museum one popular tourist locations area,,"['tu142m', 'aircraft', 'indian', 'navy', 'served', '29', 'years', 'decommissioned', 'placed', 'visakhapatnam', 'beach', 'sea', 'converted', 'museum', 'located', 'opposite', 'submarine', 'museum', 'tu', '142', 'museum', 'one', 'popular', 'tourist', 'locations', 'area']"
tenneti park,,visakhapatnam,tenenti urban park located close vicinity bay bengal jodugullapalem visakhapatnam recently renovated tourism purposes addition one citys oldest parks tenneti destroyed cyclone hudhud 2014 reconstructed according international standards,15,"['tenenti', 'urban', 'park', 'located', 'close', 'vicinity', 'bay', 'bengal', 'jodugullapalem', 'visakhapatnam', 'recently', 'renovated', 'tourism', 'purposes', 'addition', 'one', 'citys', 'oldest', 'parks', 'tenneti', 'destroyed', 'cyclone', 'hudhud', '2014', 'reconstructed', 'according', 'international', 'standards']"
buddhist excavation,3.1,visakhapatnam,havi konda thotla konda bojjana konda salihundam located around visakhapatnam places buddhist excavations excavations 1906 took place brought many buddhist monuments stupas chaityas,26,"['havi', 'konda', 'thotla', 'konda', 'bojjana', 'konda', 'salihundam', 'located', 'around', 'visakhapatnam', 'places', 'buddhist', 'excavations', 'excavations', '1906', 'took', 'place', 'brought', 'many', 'buddhist', 'monuments', 'stupas', 'chaityas']"
gangavaram beach,3.1,visakhapatnam,one beautiful beaches town one palm trees picture perfect sceneries attracts many film tv serial makers beach soft sands cool breeze always provides secluded atmosphere,8,"['one', 'beautiful', 'beaches', 'town', 'one', 'palm', 'trees', 'picture', 'perfect', 'sceneries', 'attracts', 'many', 'film', 'tv', 'serial', 'makers', 'beach', 'soft', 'sands', 'cool', 'breeze', 'always', 'provides', 'secluded', 'atmosphere']"
city shopping,3.0,visakhapatnam,waltair uplands road jagadamba junction cmr central lepakshi emporium etc tend favorites shopping vizag city famous saris varieties like pochampalli ikat almost essentials,34,"['waltair', 'uplands', 'road', 'jagadamba', 'junction', 'cmr', 'central', 'lepakshi', 'emporium', 'etc', 'tend', 'favorites', 'shopping', 'vizag', 'city', 'famous', 'saris', 'varieties', 'like', 'pochampalli', 'ikat', 'almost', 'essentials']"
victory at sea war memorial,,visakhapatnam,victory sea war memorial located beach road frequently visited tourists way beach monument pyre lit 24x7 honour indian martyrs well maintained monument often generates sense patriotism pride countrymen fight selflessly safety citizens,13,"['victory', 'sea', 'war', 'memorial', 'located', 'beach', 'road', 'frequently', 'visited', 'tourists', 'way', 'beach', 'monument', 'pyre', 'lit', '24x7', 'honour', 'indian', 'martyrs', 'well', 'maintained', 'monument', 'often', 'generates', 'sense', 'patriotism', 'pride', 'countrymen', 'fight', 'selflessly', 'safety', 'citizens']"
itika pongal,,visakhapatnam,native tribal community araku valley andhra pradesh celebrates hunting festival april gregorian calendar year name festival itika pongal similar hunting festivals tribal communities jani shikar jharkhand itika pongal festival serves perfect occasion witness tribal culture andhra pradesh purest form women tribe perform native dance form known dhimsa,,"['native', 'tribal', 'community', 'araku', 'valley', 'andhra', 'pradesh', 'celebrates', 'hunting', 'festival', 'april', 'gregorian', 'calendar', 'year', 'name', 'festival', 'itika', 'pongal', 'similar', 'hunting', 'festivals', 'tribal', 'communities', 'jani', 'shikar', 'jharkhand', 'itika', 'pongal', 'festival', 'serves', 'perfect', 'occasion', 'witness', 'tribal', 'culture', 'andhra', 'pradesh', 'purest', 'form', 'women', 'tribe', 'perform', 'native', 'dance', 'form', 'known', 'dhimsa']"
"amareswara temple, amaravathi",,,,nan,
"amravati museum, amaravathi",,,,nan,
dhyana buddha statue,,,,nan,
amaravathi mahachaitya,,,,nan,
hike to pennar gorge viewpoint,,,,nan,
explore gandikota fort,,,,nan,
camping at gandikota,,,,nan,
adventure activities,,,,nan,
jamia masjid,,,,nan,
raghunathaswamy temple,,,,nan,
sri venkateswara temple,3.5,tirupati,sri venkateshwara temple revered celebrated temple temple town tirupati tourists pilgrims flooding year long,1,"['sri', 'venkateshwara', 'temple', 'revered', 'celebrated', 'temple', 'temple', 'town', 'tirupati', 'tourists', 'pilgrims', 'flooding', 'year', 'long']"
akasaganga teertham,3.1,tirupati,akasaganga teertham waterfall tirupati located distance 3 km main temple waterfall water flowing throughout year holds immense religious significance,12,"['akasaganga', 'teertham', 'waterfall', 'tirupati', 'located', 'distance', '3', 'km', 'main', 'temple', 'waterfall', 'water', 'flowing', 'throughout', 'year', 'holds', 'immense', 'religious', 'significance']"
silathoranam,3.1,tirupati,one natural marvels history left behind silathoranam finds important landmark archaeology heritage natural rock formation one three kind world,11,"['one', 'natural', 'marvels', 'history', 'left', 'behind', 'silathoranam', 'finds', 'important', 'landmark', 'archaeology', 'heritage', 'natural', 'rock', 'formation', 'one', 'three', 'kind', 'world']"
swami pushkarini lake,3.1,tirupati,almost neighboring sri venkateshwara temple swami pushkarini lake according legends lake belonged lord vishnu located vaikuntham,0,"['almost', 'neighboring', 'sri', 'venkateshwara', 'temple', 'swami', 'pushkarini', 'lake', 'according', 'legends', 'lake', 'belonged', 'lord', 'vishnu', 'located', 'vaikuntham']"
city shopping,2.9,tirupati,tirupati one shop religious items idols pendants paintings images another popular item wooden replicas lord tirumala found varied sizes,1,"['tirupati', 'one', 'shop', 'religious', 'items', 'idols', 'pendants', 'paintings', 'images', 'another', 'popular', 'item', 'wooden', 'replicas', 'lord', 'tirumala', 'found', 'varied', 'sizes']"
vedadri narasimha swamy temple,3.1,tirupati,temple lies distance 70 km tirupati constructed sir krishna deva raya holds great mythological importance believed site lord vishnu battled rasksash somakadu took vedas,,"['temple', 'lies', 'distance', '70', 'km', 'tirupati', 'constructed', 'sir', 'krishna', 'deva', 'raya', 'holds', 'great', 'mythological', 'importance', 'believed', 'site', 'lord', 'vishnu', 'battled', 'rasksash', 'somakadu', 'took', 'vedas']"
sri padmavathi ammavari temple,3.1,tirupati,little distance main city area one finds sri padmavathi ammavari temple dedicated goddess padmavathi one many sacred structures tirupati one home many legends stories goddess,1,"['little', 'distance', 'main', 'city', 'area', 'one', 'finds', 'sri', 'padmavathi', 'ammavari', 'temple', 'dedicated', 'goddess', 'padmavathi', 'one', 'many', 'sacred', 'structures', 'tirupati', 'one', 'home', 'many', 'legends', 'stories', 'goddess']"
ttd gardens,3.1,tirupati,spreading area 460 acres ttd gardens tirupati known ornately decorated manicured flower gardens alongside lush green beauty garden also includes alwar tank mangalabhavi ananthapalligunta,4,"['spreading', 'area', '460', 'acres', 'ttd', 'gardens', 'tirupati', 'known', 'ornately', 'decorated', 'manicured', 'flower', 'gardens', 'alongside', 'lush', 'green', 'beauty', 'garden', 'also', 'includes', 'alwar', 'tank', 'mangalabhavi', 'ananthapalligunta']"
chittoor,3.1,tirupati,around 72 km away tirupati chittoor chittur temple town enshrines many deities famous temples include varasiddi vinayaka swamy temple subramanya swamy temple durgamma gudi sai baba temple,57,"['around', '72', 'km', 'away', 'tirupati', 'chittoor', 'chittur', 'temple', 'town', 'enshrines', 'many', 'deities', 'famous', 'temples', 'include', 'varasiddi', 'vinayaka', 'swamy', 'temple', 'subramanya', 'swamy', 'temple', 'durgamma', 'gudi', 'sai', 'baba', 'temple']"
sri venkateswara dhyana vignan mandiram,3.2,tirupati,established year 1980 sri venkateswara dhyana vignan mandiram tirupati museum houses traditional articles used perform puja,56,"['established', 'year', '1980', 'sri', 'venkateswara', 'dhyana', 'vignan', 'mandiram', 'tirupati', 'museum', 'houses', 'traditional', 'articles', 'used', 'perform', 'puja']"
sri govindarajaswami temple,,tirupati,sri govindarajaswami temple 12th century hindu vaishnavite shrine built saint ramanujacharya one biggest temple complexes district presiding deity lord vishnu also called govindarajaswami beautiful traditional dravidian architecture rich culture attract tourists quite large number every year,0,"['sri', 'govindarajaswami', 'temple', '12th', 'century', 'hindu', 'vaishnavite', 'shrine', 'built', 'saint', 'ramanujacharya', 'one', 'biggest', 'temple', 'complexes', 'district', 'presiding', 'deity', 'lord', 'vishnu', 'also', 'called', 'govindarajaswami', 'beautiful', 'traditional', 'dravidian', 'architecture', 'rich', 'culture', 'attract', 'tourists', 'quite', 'large', 'number', 'every', 'year']"
sri varahaswami temple,3.1,tirupati,standing north sri venkateswara temple sri varahaswami temple according lot said belong sri adi varahaswami various legends surround temple,10,"['standing', 'north', 'sri', 'venkateswara', 'temple', 'sri', 'varahaswami', 'temple', 'according', 'lot', 'said', 'belong', 'sri', 'adi', 'varahaswami', 'various', 'legends', 'surround', 'temple']"
sri venugopalaswami temple,3.1,tirupati,little away city tirupati temple devoted lord venugopalan highlights idol sri sita ramula pattabhishekam must visit area tirupati,24,"['little', 'away', 'city', 'tirupati', 'temple', 'devoted', 'lord', 'venugopalan', 'highlights', 'idol', 'sri', 'sita', 'ramula', 'pattabhishekam', 'must', 'visit', 'area', 'tirupati']"
nellore,3.1,tirupati,located 130km southwest tirupati fascinating city nellore nellore known pristine clean beaches notable ones koduryou boat catch fish lucky velangani maatha church lies next sea shore,12,"['located', '130km', 'southwest', 'tirupati', 'fascinating', 'city', 'nellore', 'nellore', 'known', 'pristine', 'clean', 'beaches', 'notable', 'ones', 'koduryou', 'boat', 'catch', 'fish', 'lucky', 'velangani', 'maatha', 'church', 'lies', 'next', 'sea', 'shore']"
iskcon tirupati,,tirupati,located foothills tirumala hills iskcon tirupati one famous pilgrimages city srila prabhupada visit 1974 suggested teachings bhagwad geeta propagated establishing centre vedic culture iskcon tirupati thus established 1982 revive messages lord krishna believed way bring peace harmony world,2,"['located', 'foothills', 'tirumala', 'hills', 'iskcon', 'tirupati', 'one', 'famous', 'pilgrimages', 'city', 'srila', 'prabhupada', 'visit', '1974', 'suggested', 'teachings', 'bhagwad', 'geeta', 'propagated', 'establishing', 'centre', 'vedic', 'culture', 'iskcon', 'tirupati', 'thus', 'established', '1982', 'revive', 'messages', 'lord', 'krishna', 'believed', 'way', 'bring', 'peace', 'harmony', 'world']"
tumburu teertham,,tirupati,tumbhuru teertham sacred lake located amidst dense natural vegetation waters believed magical powers absolve ones sins help attain moksha attraction also famous natural beauty frequented nature lovers nature walks,8,"['tumbhuru', 'teertham', 'sacred', 'lake', 'located', 'amidst', 'dense', 'natural', 'vegetation', 'waters', 'believed', 'magical', 'powers', 'absolve', 'ones', 'sins', 'help', 'attain', 'moksha', 'attraction', 'also', 'famous', 'natural', 'beauty', 'frequented', 'nature', 'lovers', 'nature', 'walks']"
"deer park, tirupati",,tirupati,located amidst beautiful natural surroundings deer park splendid escape routine nature animal lovers park houses large number deer regional flora fauna tourists way tirumala often take pit stop spend hours company deer feed also watch thrive natural habitat,5,"['located', 'amidst', 'beautiful', 'natural', 'surroundings', 'deer', 'park', 'splendid', 'escape', 'routine', 'nature', 'animal', 'lovers', 'park', 'houses', 'large', 'number', 'deer', 'regional', 'flora', 'fauna', 'tourists', 'way', 'tirumala', 'often', 'take', 'pit', 'stop', 'spend', 'hours', 'company', 'deer', 'feed', 'also', 'watch', 'thrive', 'natural', 'habitat']"
kapila teertham,,tirupati,shaivite temple kapila teertham famous pilgrimage city temple located entrance mountain cave foothills tirumala hills marvellous example dravidian architecture presiding deity lord shiva locally known lord kapileshwara idol deity installed kapila muni,2,"['shaivite', 'temple', 'kapila', 'teertham', 'famous', 'pilgrimage', 'city', 'temple', 'located', 'entrance', 'mountain', 'cave', 'foothills', 'tirumala', 'hills', 'marvellous', 'example', 'dravidian', 'architecture', 'presiding', 'deity', 'lord', 'shiva', 'locally', 'known', 'lord', 'kapileshwara', 'idol', 'deity', 'installed', 'kapila', 'muni']"
talakona waterfall,,tirupati,located sri venkateswara national park talakona waterfall highest waterfall region famous picnic spot water believed medicinal properties comes unknown underground stream attraction also famous trekking several trekking routes running around amidst scenic natural surroundings,30,"['located', 'sri', 'venkateswara', 'national', 'park', 'talakona', 'waterfall', 'highest', 'waterfall', 'region', 'famous', 'picnic', 'spot', 'water', 'believed', 'medicinal', 'properties', 'comes', 'unknown', 'underground', 'stream', 'attraction', 'also', 'famous', 'trekking', 'several', 'trekking', 'routes', 'running', 'around', 'amidst', 'scenic', 'natural', 'surroundings']"
"rock garden, tirupati",,tirupati,also known silathoranam rock garden city natural stone formation shape arch precambrian natural formation found continent many believe arch lord venkateswara walked way tirumala vaikunt protected monument tourists visit large numbers see natural formation,11,"['also', 'known', 'silathoranam', 'rock', 'garden', 'city', 'natural', 'stone', 'formation', 'shape', 'arch', 'precambrian', 'natural', 'formation', 'found', 'continent', 'many', 'believe', 'arch', 'lord', 'venkateswara', 'walked', 'way', 'tirumala', 'vaikunt', 'protected', 'monument', 'tourists', 'visit', 'large', 'numbers', 'see', 'natural', 'formation']"
japali teertham,,tirupati,japali teertham dedicated lord hanuman situated amidst dense forests believed lord hanuman used visit location often quiet kind soak peace also believed lord rama goddess sita stayed water teertham said magical powers wash away sins human made,12,"['japali', 'teertham', 'dedicated', 'lord', 'hanuman', 'situated', 'amidst', 'dense', 'forests', 'believed', 'lord', 'hanuman', 'used', 'visit', 'location', 'often', 'quiet', 'kind', 'soak', 'peace', 'also', 'believed', 'lord', 'rama', 'goddess', 'sita', 'stayed', 'water', 'teertham', 'said', 'magical', 'powers', 'wash', 'away', 'sins', 'human', 'made']"
