visit_places,rating,city_names,visit_place_summary
12. Simhachalam Temple,"3.6
 /5","9 km  from city center 
 
 12 out of 27 Places To Visit in Visakhapatnam","As per the belief of the Hindu religion, an east facing entrance brings luck and prosperity while the west one brings victory and luckily the Simhachalam temple faces west. The temple is situated among hills covered with cashew trees, shrubs, and mango groves. Many pilgrims undertake a journey to the hill on important and auspicious days. Neighbourhoods near the pilgrimage include Srinivasanagar, Prahladapuram, Sainagar colony, Simhapuri colony, and Simhapuri Layout. The journey often extends into the night, as the route is around 40 kilometres. Pilgrims visit the temple to bestow their offerings to the auspicious deities."
13. Lambasingi,,"78 km  from city center 
 
 13 out of 27 Places To Visit in Visakhapatnam","Fondly called the ‘Kashmir of Andhra Pradesh’, Lambasingi is a quaint hamlet nestled in Chintapalli Mandal in the richly forested Arakku Valley at an elevation of 1025 m above the sea level. On of the best kept secrets of Andhra Pradesh, the dainty village is known for its majestic hills, apple orchards and panoramic views of the adjoining valleys. Also known as Korra Bayalu, the village is the only place in all of South India that experiences snowfall as the temperatures drop significantly. Besides abundant natural beauty and the gorgeous views if the towering hills and meandering rivers, the village also offers a plethora of adventure activities that you can try your hand at. So if you are looking for chilling temperature, pale mists, colourful gardens and prolific natural beauty, you know where to head to."
14. Bheemili Beach,"3.1
 /5","34 km  from city center 
 
 14 out of 27 Places To Visit in Visakhapatnam","The long beautiful and pristine Bheemunipatnam Beach is located at the assemblage of Gosthani River and the Bay of Bengal. It also houses the remains of a 17th century fort and cemetery, reveling history dating back to the Dutch era."
15. War memorial,"3.1
 /5","13 km  from city center 
 
 15 out of 27 Places To Visit in Visakhapatnam","This memorial is dedicated to the 'Victory at Sea', during the Indo-Pak war in 1971. A renowned War memorial, it is located in Vizag on the left of the beach road and facing the submarine museum. Many war related materials are displayed here, including a fighter plane, missiles, few bombs and a tank."
16. Lawson's Bay Beach,"3.1
 /5","14 km  from city center 
 
 16 out of 27 Places To Visit in Visakhapatnam","Lawson's Bay beach is considered an extension of Ramakrishan beach more than often. It is a calm, serene and secluded stretch with lush greenery and  whitish sands. The majestic sea with shallow crystal clear water and calm waves here is ideal for swimming, sun bathing and surfing."
17. Kambalakonda Wildlife Sanctuary,"3.1
 /5","16 km  from city center 
 
 17 out of 27 Places To Visit in Visakhapatnam",Kambalakonda Wildlife Sanctuary is located on the outskirts of Visakhapatnam and is a perfect example of natural harmony between the dry seasonal forest and the evergreen meadows.
18. Bojjannakonda,,"10 km  from city center 
 
 18 out of 27 Places To Visit in Visakhapatnam",Bojjannakonda is a small group of six rock-cut caves that has beautifully carved statues of Gautam Buddha which draw tourists and believers for its aesthetic and religious importance. The caves nearby also have stupas where Buddhist monks would meditate.
19. Ross Hill Church,,"7 km  from city center 
 
 19 out of 27 Places To Visit in Visakhapatnam",Ross Hill Church is a splendid attraction that draws tourists and religious followers in large numbers. It is one of the few locations that can be climbed to get a fabulous view of the quaint city and the Port area. The attraction is frequently visited by photographers and nature lovers especially to view the beautiful sunrises and sunsets. Ross Hill Church has a beautiful architecture and a serene vibe that will hit the pause button to the endless mind chatter at least for a few moments. Tourists can explore the church and attend the prayer services/ mass if they choose to.
20. Sagar Nagar Beach,,"17 km  from city center 
 
 20 out of 27 Places To Visit in Visakhapatnam","Located in the quaint neighborhood of Sagar Nagar in the city of Visakhapatnam in Andhra Pradesh, Sagar Nagar beach is situated on the coast of the Bay of Bengal. Considered to be one of the most popular tourist spots in the city, the beach reverberates with tranquility and serenity. The beach is known for its golden sands, mesmerising sunsets and utter peace, all in the absence of commercial crowds or touristy pollution."
21. TU 142 Aircraft Museum,,21 out of 27 Places To Visit in Visakhapatnam,"The TU-142M aircraft of The Indian Navy served for 29 years before it was decommissioned and placed at the Visakhapatnam beach sea and converted into a museum. Located opposite the Submarine Museum, TU 142 Museum has been one of the most popular tourist locations in the area."
22. Tenneti Park,,"15 km  from city center 
 
 22 out of 27 Places To Visit in Visakhapatnam","Tenenti, an urban park, is located in close vicinity to the Bay of Bengal at Jodugullapalem in Visakhapatnam. It has recently been renovated for tourism purposes. In addition, one of the city's oldest parks, Tenneti, was destroyed in a cyclone Hudhud in 2014 and was reconstructed according to international standards."
23. Buddhist Excavation,"3.1
 /5","26 km  from city center 
 
 23 out of 27 Places To Visit in Visakhapatnam","Havi Konda, Thotla Konda, Bojjana Konda, and Salihundam located around Visakhapatnam were places of Buddhist excavations. The excavations of 1906 that took place have brought out many Buddhist monuments such as stupas and chaityas."
24. Gangavaram beach,"3.1
 /5","8 km  from city center 
 
 24 out of 27 Places To Visit in Visakhapatnam","One of the most beautiful beaches of the town, this one with palm trees and picture perfect sceneries attracts many film and TV serial makers. This beach with soft sands and cool breeze always provides a secluded atmosphere."
25. City Shopping,"3.0
 /5","34 km  from city center 
 
 25 out of 27 Places To Visit in Visakhapatnam","Waltair Uplands Road, Jagadamba Junction, CMR Central, Lepakshi Emporium etc tend t be the favorites for shopping in Vizag. The city is famous for its saris and varieties like Pochampalli, Ikat and a few more are almost essentials."
26. Victory at Sea War Memorial,,"13 km  from city center 
 
 26 out of 27 Places To Visit in Visakhapatnam",Victory at Sea War Memorial is located on Beach road and is frequently visited by tourists on their way to the beach. The monument has a pyre lit 24x7 in honour of the Indian martyrs. The well maintained monument often generates a sense of patriotism and pride in our countrymen who fight selflessly for the safety of our citizens.
27. Itika Pongal,,27 out of 27 Places To Visit in Visakhapatnam,"The native tribal community of Araku Valley in Andhra Pradesh celebrates a hunting festival during April of the Gregorian calendar each year. The name of the festival is 'Itika Pongal,' which is similar to hunting festivals of other tribal communities, such as the 'Jani Shikar' of Jharkhand. The 'Itika Pongal' festival serves as a perfect occasion to witness the tribal culture of Andhra Pradesh in its purest form when the women of the tribe perform their native dance form, known as 'Dhimsa'."
1. Bhavani Island,"4.1
 /5","9 km  from city center 
 
 1 out of 24 Places To Visit in Vijayawada","The largest island in the Krishna River, the Bhavani island is a favorite of all its visitors and home to numerous activities, to give you an ideal holiday experience."
2. Kanaka Durga Temple,"4.1
 /5","3 km  from city center 
 
 2 out of 24 Places To Visit in Vijayawada","The Kanaka Durga Temple is a famous shrine dedicated to the Goddess Durga. Located in Vijayawada district of Andhra Pradesh, this astounding architecture is built in Dravidian fashion. The temple is surrounded by the hills of Inrakeeladri, right along the banks of the Krishna River. The temple finds mention in many sacred texts and Vedic literature as well and is a revered temple among devotees and followers. People visit this temple every year to show their respect and devotion to the Goddess Supreme and seek her blessings. The temple has detailed timings and rules of darshans and seva opportunities which can be booked online on their website. The temple also runs a food donation programme as a part of their many charitable activities."
3. Undavalli Caves,"4.2
 /5","7 km  from city center 
 
 3 out of 24 Places To Visit in Vijayawada","Elaborate caves, form the 7th century, the Undavalli Caves are 4-stories high and hold a majestic and sprawling statue of Lord Shiva, carved out of a single piece of granite."
4. Kondapalli Fort,"3.4
 /5","18 km  from city center 
 
 4 out of 24 Places To Visit in Vijayawada","A fort with roots in parallel histories, this one is said to have been built as a center of recreation, business and trade. The main entrance gate, carved out of a single boulder of granite is called the Dargah Darwaja."
5. Mogalarajapuram Caves,"3.1
 /5","11 km  from city center 
 
 5 out of 24 Places To Visit in Vijayawada","These are ancient caves, dating back to 5th century and one of the most significant landmarks of the heritage of Vijayawada. Though a lot has been lost to ruins, the caves still hold religious and spiritual value as they house idols of Lord Nataraja and Lord Vinayaka amongst many more, a few cave temples and a shrine for Goddess Durga."
6. Subramanya Swamy Temple,"3.6
 /5","4 km  from city center 
 
 6 out of 24 Places To Visit in Vijayawada","Dedicated to the Lord of serpents Kartikeya, the Subramanya Swamy Temple is a shrine located in Vijayawada (Andhra Pradesh), set on the foot of the Indrakiladari Hills. The temple worships all three forms of Lord Subramanya- Sri Dandayudhapani Swamy as a boy, Sri Valli Devayanai- his original form and lastly in the form of a serpent. It is carved out of sparkling white stone with intricate stonework embellishing the facade. The temple also houses a silver covered Garuda pillar which holds great religious significance for the devotees. There is an anthill by the temple, the natural habitat of snakes, which is worshipped by the devotees with equal zeal and belief."
7. Victoria Museum,"3.1
 /5","2 km  from city center 
 
 7 out of 24 Places To Visit in Vijayawada","A museum of the Archaeology Department, this is a walk through imprints of time and all it left behind. Browse through a rich and ancient collection of sculptures, idols, inscriptions, paintings, cutlery and weapons."
8. Besant Road,"3.1
 /5","2 km  from city center 
 
 8 out of 24 Places To Visit in Vijayawada","The busiest trade centers of the city, bustling with activity and trade, Besant Road is a dynamic place in Vijayawada. The road has grown into a pivot of commercial hustle in recent times."
9. Amaravathi,"3.1
 /5","32 km  from city center 
 
 9 out of 24 Places To Visit in Vijayawada","About an hour away from Vijayawada is one of the most significant and sacred pilgrim center for Buddhists, in the country. Take a day trip to Amaravathi to witness the Largest Stupa of the country, built by Acharya Nagarjuna, 2000 years ago."
10. Hinkar Thirtha,"3.1
 /5","20 km  from city center 
 
 10 out of 24 Places To Visit in Vijayawada","One of the most renowned Jain temples, this structure houses the only Jain Shrine in the area. Adorned with the Jain style of architecture, this is also one of the most beautiful structures in town."
11. Gandhi Hill,"3.1
 /5","4 km  from city center 
 
 11 out of 24 Places To Visit in Vijayawada","The Gandhi Stupa, as it is better known, is a very famous tourist spot in Vijayawada that has been attracting hordes of tourists mainly due to a planetarium and the Light and Sound show depicting the life and teachings of Mahatma Gandhi."
12. Prakasam Barrage,,"5 km  from city center 
 
 12 out of 24 Places To Visit in Vijayawada","Standing on a whopping 160 pillars and offering an astounding view of the holy River Krishna, the Prakasam Barrage does a lot more than just looking majestic. This bridge connects the Kolkata-Chennai highway and facilitates the irrigation of over 1.2 acres of farm land. The entire bridge is lit up with soft yellow lights and is an amazing sight to witness."
13. Rajahmundry,"3.1
 /5","134 km  from city center 
 
 13 out of 24 Places To Visit in Vijayawada","At a distance of 150 km from Vijayawada, Rajahmundry holds many ritual places of visit including Draksharama, Kotipalli, Samalkot, Pattiseema the famous Siva temples."
14. Mangalgiri,,"12 km  from city center 
 
 14 out of 24 Places To Visit in Vijayawada","Being one of the 8 Mahakshetrams or sacred destinations of the country, Mangalagiri is a charming town in Vjayawada that has a lot of religious history. They say that Lord Vishnu manifested himself in the soil of Mangalagiri and that Lakshmi Devi has performed penance on its hilltop. The town's religious significance and natural beauty draw thousands of tourists every year."
"15. Amravati Museum, Vijayawada",,"32 km  from city center 
 
 15 out of 24 Places To Visit in Vijayawada","Displaying a wide range of exhibits that date back to as far as the 3rd century, the Archaeological Museum in Amravati is an absolute haven for the history buff in each one of us. This museum houses mysterious relics and exotic artefacts found during excavations and flawlessly sculpted statues of Lord Buddha, Goddess Tara and Bodhisattva Padmapani."
16. Sri Ramalingeswara Swami vari Devasthanam,,"10 km  from city center 
 
 16 out of 24 Places To Visit in Vijayawada","Resting atop a small hillock in the southeast corner of Vijayawada is the Sri Ramalingeswara Swami vari Devasthanam. Decked in a canopy of tall dense trees, this holy temple is dedicated to Lord Shiva and is decorated like a bride, come Mahashivratri. You will also be treated to a breathtaking view of the colourful city and the River Krishna from here."
17. Lenin Statue,,"3 km  from city center 
 
 17 out of 24 Places To Visit in Vijayawada","An enormous statue of Vladimir Ilyich Ulyanov, better known as Lenin, towers in the middle of Vijayawada city as an instance of communism and its ideologies. Built in the 1980s when the town was under communist rule, this statue holds tremendous historical significance. You can find many stray book sellers here selling popular and interesting books at a third of the cost."
18. Hazrat Bal Mosque,,"0 km  from city center 
 
 18 out of 24 Places To Visit in Vijayawada","The dazzlingly white Hazratbal Mosque in Vijayawada city is a sight for sore eyes. This mosque experiences a footfall of thousands of people, irrespective of caste and creed, to take one glance at Prophet Mohammad's relic that is put up on display once a year. They say having seen this relic will rid you of all the stubborn problems of life."
19. Akkanna Madanna Caves,,"4 km  from city center 
 
 19 out of 24 Places To Visit in Vijayawada","These ancient rock-cut caves of Akkanna Madanna can be traced back to the 7th Century. Located in the Krishna and Guntur regions of Andhra Pradesh, these caves are the treasured possessions of the Vijayawada kingdom. These caves are dedicated to the Hindu trinity of Brahma, Vishnu and Maheshwara and contain significant inscriptions from the past."
20. VMC Disney Land,,"4 km  from city center 
 
 20 out of 24 Places To Visit in Vijayawada","Situated in Ajit Singh Nagar in Vijayawada, VMC Disney Land is one of the most popular and largest water parks in the city. With separate swimming pools for adults and kids, professionals and beginners and a variety of water activities and fun games, thrilling rides, aqua dancing and wave pools etc., the water park is the favourite hangout place for the city dwellers."
21. Gunadala Matha Shrine,,"1 km  from city center 
 
 21 out of 24 Places To Visit in Vijayawada","Tucked into the hills of the Krishna District, the Gundala Matha Shrine, or the St Mary's Church, provides hope and solace to many. You will find an iron cross erected here along with Mother Mary's idol and a museum that houses many holy relics. A huge crowd of devotees and tourists are gathered here during the festive celebration of Our Lady of the Lourdes."
22. Haailand,,22 out of 24 Places To Visit in Vijayawada,Haailand is situated around 19 km from Vijayawada on the outskirts of the city. It is considered to be the most deliciously designed and themed water cum amusement park in the region. It offers a plethora of fun games and activities. You can either choose a water park package or an amusement park package or both.
23. ISKCON Vijayawada,,"6 km  from city center 
 
 23 out of 24 Places To Visit in Vijayawada","Settled by the banks of River Krishna, the striking three-storeyed building of ISKCON in Vijayawada houses two mesmerizingly stunning marble idols of Lord Krishna and Radha standing side by side. The faint vibrations of ¥om' playing in the background will relax your nerves as soon as you enter the temple. Mahaprasad facility is also available here."
24. Rajiv Gandhi Park,,"4 km  from city center 
 
 24 out of 24 Places To Visit in Vijayawada","Set on the banks of River Krishna, the Rajiv Gandhi Park has it all- a small enclosure with exotic animals, a dinosaur park with life size replicas of ancient creatures and a mesmerising musical fountain. Relaxing amidst the dense verdure of this park and listening to the melodious chirping of the birds will instantly refresh you after a long monotonous week."
1. Nagarjuna Sagar Dam and Ethipothala Falls,"3.5
 /5","113 km  from city center 
 
 1 out of 13 Places To Visit in Guntur","An exquisite sight of a massive irrigation project constructed over River Krishna, Nagarjuna Sagar Dam is situated around 100 miles from the city of Guntur."
2. Kondaveedu,"3.1
 /5","20 km  from city center 
 
 2 out of 13 Places To Visit in Guntur",Kondaveedu is a place lying about 17 miles from Guntur city adorned with one of the most popular tourist attractions of the region. It houses an ancient fort belonging to 14th century AD built by Reddy kings which comprises of 21 magnificent structures.
3. Uppalapadu Nature Conservation,"3.1
 /5","8 km  from city center 
 
 3 out of 13 Places To Visit in Guntur","A place to admire large number of endangered species of Birds, Uppalapadu Nature Conservation is situated in the southern side of the city."
4. Kotappakonda Trikutaparvattam,"3.1
 /5","47 km  from city center 
 
 4 out of 13 Places To Visit in Guntur","Originally known as Kondakavuru, this place is famously known as Kotappakonda or Trikutaparvattam meaning three peaked hill which actually lies nearby."
5. Mangalagiri,"3.6
 /5","20 km  from city center 
 
 5 out of 13 Places To Visit in Guntur","Mangalagiri, lying 13 miles northeast of Guntur city is mainly renowned for its famous temple of Lord Lakshmi Narasimha Swamy. At the temple, the devotees worship the lord by offering jiggery water."
"6. Downtown, Guntur","3.1
 /5","2 km  from city center 
 
 6 out of 13 Places To Visit in Guntur","The city of Guntur is comprised of its own downtown area, midtown and residential areas. This place is packed with myriad of tourist attractions which include Center of Brodipet, Arundelpet, Jinnah Tower Center, Naaz Center, Brindavan Gardens, Old Guntur and Inner and Outer Ringroads."
7. Amaravathi,"3.1
 /5","31 km  from city center 
 
 7 out of 13 Places To Visit in Guntur",A place situated about 16 miles from Guntur is packed with a famous holy shrine and site of great historic importance. The place itself is named after a renowned temple lying in the area namely Amareswara Swamy which inhabits Swayambhu Linga.
8. Viswa Nagar,"3.1
 /5","2 km  from city center 
 
 8 out of 13 Places To Visit in Guntur","Situated in the south-west part of the city, Viswa Nagar can be easily approached via a National Highway 5 i.e. GNT-Chennai Expressway. The place is renowned for Universal Integration Pillar and Viswayogi Viswamji."
9. Krishna Barrage,"3.1
 /5","29 km  from city center 
 
 9 out of 13 Places To Visit in Guntur",Krishna Barrage or Prakasam Barrage lies 18 miles from the city of Guntur. It is constructed over Krishna River all the way connecting Guntur with Krishna District.
10. Pongal,"3.1
 /5","41 km  from city center 
 
 10 out of 13 Places To Visit in Guntur","Mid-January is considered as an important time in the Tamil calendar. The harvest festival, Pongal, typically falls on the 14th or the 15th of January and is celebrated in an exemplary mode of 'Tamil Culture'. Guntur has a lavish celebration of Pongal that anybody interested in observing local cultures should not miss."
11. Suryalanka Beach,,"52 km  from city center 
 
 11 out of 13 Places To Visit in Guntur","Suryalanka Beach is a lesser-known gem situated near Bapatla near Guntur. The beach is famous for the sweeping views of the sun, sea and sand. It is also ideal for swimming."
12. Bhattiprolu,,"43 km  from city center 
 
 12 out of 13 Places To Visit in Guntur","Located in the Guntur district in the state of Andhra Pradesh, Bhattiprolu is a small village which is mainly known for its Buddhist stupa that is a centrally protected monument of national importance."
13. Amaravati Stupa,,"31 km  from city center 
 
 13 out of 13 Places To Visit in Guntur","Amaravati Stupa is a heritage monument, and ancient Buddhist stupa located in the Amaravathi. The memorial is currently under the protection of the Archaeological Survey of India. Popularly known as the Mahachaitya, Deepaladinne or the Great Stupa of Amaravati, this is among the largest stupas in India and one of the most visited sites in Amaravati."
1. Ramalingeswara Temple,"3.1
 /5","4 km  from city center 
 
 1 out of 7 Places To Visit in Nellore","Also known as Ramathirdham, this temple is located 30 km from Nellore city. The presiding deities of the temple are Lord Shiva and Goddess Kamakshamma."
2. Narasimhaswamy Temple,"3.1
 /5","1 km  from city center 
 
 2 out of 7 Places To Visit in Nellore","Dedicated to Lord Vishnu, Narasimhaswamy Temple lies about 13 km from center of the Nellore city. Lord Vishnu is worshipped in this in the form of his fourth incarnation."
3. Patu Ru,"3.1
 /5","55 km  from city center 
 
 3 out of 7 Places To Visit in Nellore","Patu Ru is a small village lying at a distance of about 10 km from Nellore and perfect place for shopaholics. Renowned for its handicrafts industry and handloom sarees, the village is settles between the triangle formed by Kovuru, Damarmadugu and Kovuru."
4. Ranganatha Temple,"3.4
 /5","4 km  from city center 
 
 4 out of 7 Places To Visit in Nellore","Lying on the banks of River Pennar, Ranganatha Temple is one of the most revered temples of Nellore. The temple is great religious significance and is considered to be the oldest temples of the area which attracts devotees in such large number."
5. Mypadu Beach,"3.4
 /5","2 km  from city center 
 
 5 out of 7 Places To Visit in Nellore","Located about 22 km from the city of Nellore, Mypadu Beach is a calm and serene beach with slow waves and gentle breeze. The salient feature of the water body is sunrise that is not to be missed."
6. Barah Shaheed Dargah,"3.1
 /5","1 km  from city center 
 
 6 out of 7 Places To Visit in Nellore","Barah Shaheed Dargah is a mausoleum located very close to sea in Sulurpet in Nellore District. The place was established in the honor of 12 martyrs. It is a common belief that those who visit here to pay their respects, have all their wishes fulfilled."
7. Nelapattu Bird Sanctuary,"3.6
 /5","73 km  from city center 
 
 7 out of 7 Places To Visit in Nellore","Renowned for being one of the most significant pelican habitats in South-east Asia, the Nelapattu Bird Sanctuary in the Nellore District is every bird watcher's dream come true. This mesmerising sanctuary is located just near the village of Nelapattu and is spread over a total area of about 459 hectares."
1. Yaganti,"4.2
 /5","54 km  from city center 
 
 1 out of 30 Places To Visit in Kurnool","Yaganti, in Kurnool District of Andhra Pradesh, is the famous Sri Yagantiswamy Temple (also known as the Uma Maheshwara Temple) dedicated to Lord Shiva. Constructed by the first Vijayanagara Sangama King Harihara Bukka Rayalu in the 15th century, the temple ebbs deeply of culture and traditions even today. Yaganti houses the idol of Shiva & Parvathi, called Ardhanareeswara carved out of a single stone. This is probably the only place where Lord Shiva is worshipped in the form of an idol instead of Shiva Linga."
2. Belum Caves,"4.2
 /5","81 km  from city center 
 
 2 out of 30 Places To Visit in Kurnool","At a distance of about 110 km from Kurnool are the longest caves of the India. With stalactite & stalagmite formations, this area offers sights and landscapes you don''t get to witness everyday."
3. Rollapadu Wildlife Sanctuary,"4.2
 /5","35 km  from city center 
 
 3 out of 30 Places To Visit in Kurnool","Typically known as a centre for preserving the Great Indian Bustard, the sanctuary has witnessed a rise in the population of the Blackbuck and a related slip in the numbers of the bird."
4. Konda Reddy Fort Or Kondareddy Buruju,"3.2
 /5","2 km  from city center 
 
 4 out of 30 Places To Visit in Kurnool","Thought the fort has lost a lot to ruins, it continues to be one of the highlights of the town and has been a landmark for Kurnool since ages. The structure was built by the rulers of the Vijayanagar Empire."
5. Venugoplaswami Temple,"3.2
 /5","0 km  from city center 
 
 5 out of 30 Places To Visit in Kurnool","One of the famous temples in Kurnool, Venugoplaswami is also a popular tourist attraction."
6. Mantralayam,"3.2
 /5","67 km  from city center 
 
 6 out of 30 Places To Visit in Kurnool","At a distance of 100 km from Kurnool, Mantralayam is a village in Kurnool, mostly identified with the presence of the sacred burial of Guru Raghavendra Swami."
7. Nagareswarasawami,"3.2
 /5","0 km  from city center 
 
 7 out of 30 Places To Visit in Kurnool","One of the major temples of Kurnool, Nagareswarasawami is visited by locals and tourists alike."
8. Ahobilam Temple,,"108 km  from city center 
 
 8 out of 30 Places To Visit in Kurnool","Ahobilam Temple, dedicated to Lord Narasimha Swami, is the only temple where all the nine forms of the deity are worshipped. Ahobilam is believed to be the middle of Adishesha who expands all over the Nalmalla Hills. The temple was built according to the Vijayanagara style of architecture and houses idols of all the nine forms of Lord Narasimha Swami."
9. Oravakallu Rock Garden,"3.5
 /5","20 km  from city center 
 
 9 out of 30 Places To Visit in Kurnool","There are a few ordinary landscapes in Kurnool. One fascinating stretch is a park with igneous rock formations. Find here a restaurant, small ponds, boating facilities and a cave museum. A less ordinary hiking area and a bit unusual picnic spot, this one, is a must visit area in Kurnool."
10. Tomb of Abdul Wahab,"3.5
 /5","1 km  from city center 
 
 10 out of 30 Places To Visit in Kurnool","On the banks of River Handri is a 17th century structure, the Tomb of Abdul Wahab. A monument with elaborate workmanship, two majestic domes, verandahs, arches and more, the tomb was built after the death of Abdul Wahab Khan, the first Nawab of Kurnool."
11. City Shopping,"3.0
 /5","0 km  from city center 
 
 11 out of 30 Places To Visit in Kurnool","Walk through the Shroff Bazaar glittering with countless options for jewellery and find some tempting bargains. Another highlight is the M and M Shopping mall, said to be one of the most developed shopping centers in the area. One can also visit the Jyoti Mall, nearby."
12. Buddha Statue,"3.7
 /5","1 km  from city center 
 
 12 out of 30 Places To Visit in Kurnool","Buddha Statue is a majestic white statue with a hillock behind it with 'Belum Caves' written on it. It is situated in the Kurnool district of Andhra Pradesh. Buddha Statue is an example of some of the best Buddhist as well as Jain remains. It is a beautiful and attractive proof of the contributions which have been made by the monks towards these caves. This statue is situated near a village named Kolimigundla, and the bypass road leads to Tadipatri."
13. Saibaba Temple,"3.2
 /5","2 km  from city center 
 
 13 out of 30 Places To Visit in Kurnool",One of the most popular religious centers in Kurnool is a star-shaped temple on the banks of Tungabhadra which tends to be in much verve during the monsoons. Find inside a glistening white marble statue of Shri Sai Baba and 16 elaborate rooms.
14. SRS Matha Mantralayam,,"67 km  from city center 
 
 14 out of 30 Places To Visit in Kurnool","A lineage of Hamsa Naamaka Paramaatma, SRS Matha Mantralayam is adorned by several wise men in India. The matha was launched by Sri Mahwacharya of Dwaita Vedanta. His pupil, Sri Padmanabha Teertha was appointed as the prime teacher. Today, it is an important pilgrim centre where one can observe the traditional practices and offer prayers at the Brindavan."
15. Mahanandi,,"1 km  from city center 
 
 15 out of 30 Places To Visit in Kurnool","Mahanandi is a scenic village in the district surrounded by dense forestation with the mesmeric Nallamala Hills located to its west. The village has one of the nine shrines dedicated to Lord Nandi, also called Nava Nandulu. The village is famous for a 10th century ancient temple - the Mahanandiswara Swami temple. The village draws pilgrims every year on the occasion of Mahashivratri."
"16. Sakshi Ganapati Temple, Kurnool",,"93 km  from city center 
 
 16 out of 30 Places To Visit in Kurnool","Located amidst beautiful surroundings, the Sakshi Ganapati Temple is a small little shrine dedicated to Lord Ganesha. Devotees believe that Lord Ganesha knows who visits the Mallikarjuna Jyotirlinga. He keeps a record and shows it to Lord Shiva. Hence, devotees visit this temple first to register their visit before visiting any other temple in Srisailam. There is a modest climb of 10 steps to reach the sanctum of this temple. 
The most alluring part about the temple is its location as the temple nestles amongst dense woods."
17. Nava Narsimha Temple,,"3 km  from city center 
 
 17 out of 30 Places To Visit in Kurnool","Located in the scenic hills covered with dense forestation, the Nava Narsimha Temples are of great religious importance in the region. The temples are dedicated to the nine forms of Lord Narasimha and are distributed all over the hill. The temples have idols of the deity in their respective forms made of stone. Most devotees cover all the temples in one trip to the region."
