visit_places,rating,turist_attration,visit_place_summary,best_time
11. Guntur,"4.7
 /5","11 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        13  Tourist attractions","Known as the Land of Chillies, Guntur is famous for its massive chilli market yard in Asia. It is the third most populous town in Andhra Pradesh located at a distance of 30kms from the newly coined capital Amaravathi.",Best Time:  October to March
12. Nellore,"4.7
 /5","12 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        7  Tourist attractions","Nellore is a beautiful city lying on the banks of River Penna, a Municipal Corporation in the South Indian state of Andhra Pradesh. Anciently known as Vikrama Simhapuri, it derived its name from ""Nelluru"", a combination of Tamil words ""Nel"" and ""Ooru"" where Nel stands for Paddy and Ooru means Place.",Best Time:  October to February
13. Lepakshi,"4.2
 /5","13 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        4  Tourist attractions","Lepakshi is a small quaint village with a trail of several great kingdoms that once ruled the area. Located in the Anantpur district of Andhra Pradesh, Lepakshi is located at a distance of 120 km from Bangalore making it a great choice for one day trip. Founded in 1535 AD by Maharaja Aliya Rama Raya...",Best Time:  September to February
14. Rajahmundry,"4.5
 /5","14 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        12  Tourist attractions","Located on the banks of River Godavari in Andhra Pradesh, and officially known Rajamahendravaram, Rajahmundry is the biggest city of the East and the West Godavari District in the state. Touted to be one of the oldest cities in India, Rajahmundry was founded in the 19th century by the Chalukya King-...",Best Time:  October to March
15. Horsley Hills,"4.1
 /5",15 out of 44  Places to visit in Andhra Pradesh,"Located near the southwestern border between Andhra Pradesh and Karnataka, Horsley Hills refers to a hill station that is the perfect amalgam of the charms of Andhra Pradesh and the beauty of the hills. It is thus often called, the Ooty of Andhra. This natural marvel is situated at an astonishing he...",
16. Rollapadu Wildlife Sanctuary,"4.2
 /5",16 out of 44  Places to visit in Andhra Pradesh,"A wildlife sanctuary spread across an area of 614sq kms in the Kurnool district of Andhra Pradesh, Rollapadu offers its visitors a journey into the wild, close to nature, amidst a number of diverse species of flora and fauna. Established in 1988, Rollapadu is especially known for being the home to t...",
17. Lambasingi,,17 out of 44  Places to visit in Andhra Pradesh,"Fondly called the ‘Kashmir of Andhra Pradesh’, Lambasingi is a quaint hamlet nestled in Chintapalli Mandal in the richly forested Arakku Valley at an elevation of 1025 m above the sea level. On of the best kept secrets of Andhra Pradesh, the dainty village is known for its majestic hills, apple orch...",
18. Chittoor,"4.7
 /5","18 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        11  Tourist attractions","Steeped in religion, devotion and architecture, Chittoor is a place that everyone should visit at least once in their lifetime.",Best Time:  September to February
19. Borra Caves,"4.2
 /5",19 out of 44  Places to visit in Andhra Pradesh,"Located on the east coast of India, the Borra Caves are situated in the Ananthagiri hills of the Araku Valley in Visakhapatnam district. Breath taking hilly terrain, beautiful landscape, semi-evergreen moist deciduous forests, and wild fauna of the Borra Caves are a visual feast.",
20. Bhavani Island,"4.1
 /5",20 out of 44  Places to visit in Andhra Pradesh,"Bhavani island is one of the largest islands on a river and is located over the Krishna river at Vijayawada. The vast expanse of the island proves to be the perfect place for a relaxing weekend. If you are one for adventure sports and water slides, this is an exhilarating place to visit! It is named...",
21. Machilipatnam,"5.0
 /5","21 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        10  Tourist attractions","The port town of Machelipatnam nestled on the banks of River Krishna is one of the most popular tourist attractions of South India. Steeped in rich historical past, the town still reflects the footprint of several foreign invaders in the country.",Best Time:  October to March
22. Kakinada,"3.7
 /5","22 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        8  Tourist attractions","A city with a perfect blend of cosmopolitan lifestyle and old-world charm, Kakinada in Andhra Pradesh is blessed with the best of both the cultures. One side showcases the rich cultural heritage, while the other side will leave you in awe of its success in industrialization and architectural grandeu...",Best Time:  October to March
23. Konaseema,"5.0
 /5",23 out of 44  Places to visit in Andhra Pradesh,"Surrounded by the tributaries of the River Godavari and the magnificent Bay of Bengal itself, Konaseema is the delta-ic region in the East Godavari district of Andhra Pradesh. The area has properties matching those of the resplendent Kerala Backwaters and so it has also come to be called as ‘God’s o...",Best Time:  November to February
24. Srikalahasti,"3.9
 /5","24 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        9  Tourist attractions","Located in the Chittoor district of Andhra Pradesh, the holy city of Srikalahasti is a popular tourist destination due to its famous Srikalahasti temple. It is one of the most important Shiva temples of South India built during the ancient Pallava dynasty. With vibrant yesteryear, this place ha...",Best Time:  July to March
25. Mantralayam,"4.8
 /5","25 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        2  Tourist attractions","Mantralayam is a holy town situated 74 km from Kurnool district in Andhra Pradesh and 250 km from its state capital, Hyderabad. It is located near the border of Karnataka and on the banks of the river Tungabhadra. Mantralayam is known for Sri Guru Raghavendra Swami, a saint who entere...",Best Time:  October to March
26. Annavaram,"4.3
 /5","26 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        2  Tourist attractions","Located in the East Godavari district of Andhra Pradesh, Annavaram is a small hamlet on the banks of river Pampa. It is on the hilltop of Ratnagiri, at a distance of 142 kilometres from Hyderabad. The temple village is famous for its shrine of Sri Veera Venkata Satyanarayana Swamy, a form of the Hin...",Best Time:  Throughout the year
27. Puttaparthi,"5.0
 /5","27 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        13  Tourist attractions","The holy abode of the legendary figure, Sathya Sai Baba, Puttaparthi is a town which takes you back to the days of ashrams and the ways of living in those times with an equal influence of the present.A tiny town in Andhra Pradesh, Puttaparthi has gained global fame as a centre of religious brillianc...",Best Time:  September to February
28. Vizianagaram,"4.7
 /5","28 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        12  Tourist attractions","Lying close to the coastline of the Bay of Bengal on the Eastern Ghats, Vizianagaram is a city in the state of Andhra Pradesh. Deriving its name from the princely district of Vizianagaram, the name of the city means 'City of Victory'. Bounded by Vishakhapatnam on the west and south, and the Bay of B...",Best Time:  October to March
29. Samalkot,"4.0
 /5","29 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        7  Tourist attractions","Samalkot is a small quaint town with a charm that can only be experienced by visiting it. Situated in the East Godavari District of Andhra Pradesh, this place is regarded as holy by the devotees of Lord Shiva.",Best Time:  October to March
30. Nagarjunakonda,"4.7
 /5","30 out of 44  Places to visit in Andhra Pradesh
				
		      
		         
		        5  Tourist attractions","A Buddhist town that flaunts age-old tools, Buddhist stupas, statues, monasteries and scriptures; Nagarjunakonda is one of the famous Buddhist pilgrimage sites in India. Located 150km from Hyderabad, near the Nagarjuna Sagar Reservoir, the town is believed to have been existed for almost 1800 years....",Best Time:  October to March
31. Yaganti,"4.2
 /5",31 out of 44  Places to visit in Andhra Pradesh,"Yaganti, in the Kurnool district of Andhra Pradesh in India, is a popular tourist site that is famous for its temple of Sri Yagantiswamy, which is dedicated to Lord Shiva and is the perfect way to get a feel of the Andhra Pradesh tourism. Also known as Uma Maheshwara Temple, the ancient Sri Yag...",
32. Rushikonda Beach,"4.1
 /5",32 out of 44  Places to visit in Andhra Pradesh,"The Rushikonda Beach is a stunning shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoil...",
33. Coringa Wildlife Sanctuary,"4.0
 /5",33 out of 44  Places to visit in Andhra Pradesh,"Merely 22km away from the Kakinada Beach, Coringa is a Wildlife Sanctuary as well as an estuary. It is home to as many as 35 species of mangrove plants, 120 species of rare birds and innumerable species of flora. This sanctuary is also famous for being home to the critically endangered white-backed&...",
34. Maredumilli,"4.0
 /5",34 out of 44  Places to visit in Andhra Pradesh,"Part of one of the premium eco-tourism projects of the country, Maredumilli is a terrain of undulating plains, evergreen forests and rich biodiversity. Located in the East Godavari district of Andhra Pradesh, which is known for its rivers, ravines and lush greeneries, Maredumilli is a paradise for t...",
35. Draksharamam,"3.5
 /5",35 out of 44  Places to visit in Andhra Pradesh,"Located on the eastern bank of Godavari, Draksharamam Temple is one of the five most powerful and prominent temples dedicated to Lord Shiva in the country. 40kms away from Rajahmundry, the temple architecture dates back to 11th century. Draksharamam is perfect for a religious pilgrimage, the scenery...",
36. Oravakallu Rock Garden,"3.5
 /5",36 out of 44  Places to visit in Andhra Pradesh,"There are a few ordinary landscapes in Kurnool. One fascinating stretch is a park with igneous rock formations. Find here a restaurant, small ponds, boating facilities and a cave museum. A less ordinary hiking area and a bit unusual picnic spot, this one, is a must visit area in Kurnool.",
37. Ahobilam Temple,"3.4
 /5",37 out of 44  Places to visit in Andhra Pradesh,Ahobilam is a small village renowned for Lord Narasimha Swamy Temple. The Ahobilam temple is dedicated to Lord Lakshmi Narasimha Swamy. The temple complex has temples of Adi Lakshmi Devi Temple and Chenchu Lakshmi Devi. It is the only temple where all the nine forms of the deity are worshipped. Ahob...,
38. Rayadurg,,38 out of 44  Places to visit in Andhra Pradesh,"Built at the height of 2,727 feet above the sea level, Rayadurg is a town packed to the brim with monuments harbouring rich cultural heritage. Located at the Karnataka border, this small town draws tourists from all over the country.",
39. Kaigal Falls,,39 out of 44  Places to visit in Andhra Pradesh,"Situated in the district of Chittoor, Andhra Pradesh, the Kaigal fall is nestled amidst the Koundinya Wildlife sanctuary. The Kaigal waterfall derives its name from the village Kaigal, that surrounds it.",
40. Tadipatri,,40 out of 44  Places to visit in Andhra Pradesh,"Ancient temples with relics from centuries back in await you within the temples of Tadipatri. Built during the golden years of the Vijaynagar Empire, this retreat situated on the Western side of Andhra Pradesh is guaranteed to leave any visitor enchanted.",
41. Nagalapuram,,41 out of 44  Places to visit in Andhra Pradesh,"Hidden like a jewel behind the lush green forests of Andhra Pradesh lies a serene and tranquil place named Nagalapuram. Also known as Nagala Hills, it is famous for the various adventurous activities proffered in this scenic village. Nagalpuram is also known for housing the Nagalpuram Falls. A group...",
42. Chirala Beach,,42 out of 44  Places to visit in Andhra Pradesh,"Also known as “Ksheerapuri”, the peaceful town of Chirala is located in Prakasam district of Andhra Pradesh. It was founded by Minchala Paleti Papayya and Minchala Paleti Perayya. Chirala is exclusively famous for its quiet beaches, splendid panoramic view and extremely hospitable people. Also famou...",
1. Tawang,"4.8
 /5","1 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        12  Tourist attractions","Located amidst the majestic Himalayas in Arunachal Pradesh, Tawang stands as a captivating destination steeped in natural beauty and cultural heritage. Renowned for being the birthplace of the 6th Dalai Lama, Tsangyang Gyatso, its breathtaking landscapes, including snow-capped peaks, alpine mea...",Best Time:  March - June; September - October
2. Ziro,"4.6
 /5","2 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        9  Tourist attractions","Located in the picturesque state of Arunachal Pradesh, Ziro is a tranquil valley town renowned for its stunning landscapes, rich cultural heritage, and vibrant festivals. Situated approximately 115 kilometers from the capital city of Itanagar, Ziro captivates visitors with its lush greenery, sprawli...",Best Time:  September - November ; March - May
3. Namdapha National Park,"4.3
 /5",3 out of 31  Places to visit in Arunachal Pradesh,"The third largest national park in the country, area-wise, Namdapha National Park is located in Arunachal Pradesh. Namdapha National Park is a gem for any wildlife and nature lover. With its altitude varying between 200 meters to 4500 meters, it is a haven of rare and endangered animal and plant spe...",
4. Sela Pass,"4.2
 /5",4 out of 31  Places to visit in Arunachal Pradesh,"One of the most breathtaking places in the Himalayan vista, Sela Pass is a lifeline for the people of Arunachal Pradesh, and it is as heavenly as it gets. The Sela Pass and Himalayas combine to enchant one and all by their mystic beauty. One of the most stunning gifts of nature to the North-Eas...",
5. Bomdila,"4.7
 /5","5 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        8  Tourist attractions","With majestic Himalayas bestowing their shadow, the beautiful town of Bomdila will offer you all an area in this terrain should. Other than sceneries and views making the area a visual treat for the eyes, wrapped around in a cool breeze and pleasant climate, the area will offer you a number of ...",Best Time:  April to October
6. Roing,"4.2
 /5","6 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        11  Tourist attractions","The snow peaked mountains, deep gorges, turbulent rivers cascading down the hills, numerous waterfalls, placid lakes, archaeological sites, peace and fun loving hospitable people and above all the heavenly climate make Roing one of the most attractive destinations for tourists.",Best Time:  October to March
7. Itanagar,"4.4
 /5","7 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        11  Tourist attractions","Itanagar, nestled in the foothills of the Eastern Himalayas and bordered by the fertile Brahmaputra river plains, offers a captivating blend of natural beauty and cultural heritage. The city boasts a rich legacy of heritage and tribal culture, with attractions such as the 15th century Ita-Fort, lege...",Best Time:  October to March
8. Tezu,"4.3
 /5",8 out of 31  Places to visit in Arunachal Pradesh,"Tezu, located in the Lohit district of Arunachal Pradesh, is a charming town known for its scenic beauty and cultural diversity. Surrounded by picturesque hills and the Lohit River, Tezu offers visitors access to stunning natural landscapes, including the nearby Glow Lake and Parshuram Kund, a sacre...",
9. Dirang,"4.4
 /5","9 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        6  Tourist attractions","Situated on the journey between Tawang and Bomdila in Arunachal Pradesh, Dirang, which was once an overlooked quaint hamlet, has evolved into a beautiful little town for its scenic setting and bucolic charm. Set along the banks of the Dirang River, it is famous for its hot water springs, which are h...",Best Time:  November to February
10. Pasighat,"4.0
 /5","10 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        5  Tourist attractions","Home to river Brahmaputra which transcends down from Tibet, Pasighat is known as the 'Gateway of Arunachal Pradesh' and is a pure heaven for nature lovers. If you looking for adrenaline rush, then this is also a great place for you as adventure activities like white river rafting, boating and anglin...",Best Time:  October to May
11. Aalo,"4.1
 /5","11 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        7  Tourist attractions","Formerly known as Along, the town of Aalo functions as the headquarters of the West Siang district in Arunachal Pradesh. Lying close to several tiny villages, this small town is situated at the congregation of the two rivers of Sipu and Yomgo. Mechuka Valley, among the most beautiful offbeat places ...",Best Time:  Throughout the year
12. Nuranang Falls,"4.3
 /5",12 out of 31  Places to visit in Arunachal Pradesh,"Nestled deep within the forests of Tawang, Nuranang Falls offers a serene and unspoiled experience, hidden away from the bustling tourist trails. Cascading from a height of approximately 100 meters, this magnificent waterfall, also known as Jang Falls or Bong Bong Falls, is a pristine white veil of ...",
13. Tawang Monastery,"4.4
 /5",13 out of 31  Places to visit in Arunachal Pradesh,"Located amidst the picturesque surroundings, the Tawang Monastery also known as the Golden Namgyal Lhatse is one of the gems in Arunachal Pradesh. Perched at the height of 3,000 metres above sea level, it has been recognised as the second largest monastery in the world, the first one being Lhasa. Th...",
14. Bhalukpong,"4.5
 /5","14 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        3  Tourist attractions","Bhalukpong is a picturesque town located in the West Kameng district of Arunachal Pradesh, at the foothills of the Eastern Himalayas. It serves as the gateway to Arunachal Pradesh and is known for its natural beauty, with the Kameng River flowing through it and the dense forests surrounding the town...",Best Time:  October to March
15. Sangti Valley,"4.3
 /5",15 out of 31  Places to visit in Arunachal Pradesh,"Located in the Eastern Himalayan Foothills, Sangti Valley in the West Kameng district of Arunachal Pradesh is renowned for its breathtaking natural beauty. Carved by the meandering Sangti River, the valley offers picturesque scenery and a pleasant climate, making it a popular destination for tourist...",Best Time:  November - April
16. Namsai,"4.3
 /5",16 out of 31  Places to visit in Arunachal Pradesh,"Namsai, a district in Arunachal Pradesh, is a burgeoning destination nestled in the northeastern corner of India. Renowned for its tranquil ambiance and stunning natural beauty, Namsai offers visitors a serene retreat amidst verdant landscapes. The district is characterized by its lush greenery, pri...",Best Time:  November - February
17. Bum La Pass,,17 out of 31  Places to visit in Arunachal Pradesh,"Bum La Pass, located in the Tawang district of Arunachal Pradesh, India, is a high mountain pass situated at an elevation of approximately 15,200 feet (4,600 meters) above sea level. It holds immense strategic importance as it serves as a border between India and China, lying near the Line of Actual...",
18. Changlang,"4.1
 /5","18 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        6  Tourist attractions","Changlang District shares international boundary with Myanmar (Burma) and is best known for its bio-diversity and scenic beauty and a unique culture that makes it standout from the nearby areas. Changlang has a subtle uniqueness in its attitude, nature and environment, hinting towards an exotic...",Best Time:  November to February
19. Damro,"4.3
 /5",19 out of 31  Places to visit in Arunachal Pradesh,"Damro, a remote village in Arunachal Pradesh, is best known as the starting point of the longest hanging bridge in the state. This picturesque village offers a glimpse into the traditional lifestyle of the Adi tribe, with its bamboo houses and terraced fields. The hanging bridge, made of bamboo and ...",
20. Madhuri Lake,"4.2
 /5",20 out of 31  Places to visit in Arunachal Pradesh,"Nestled amidst the Himalayas, Arunachal Pradesh boasts numerous stunning lakes, but none are as captivating as Madhuri Lake, also known as Sangetsar Lake or Sangestar Tso. Situated on the route from Tawang to Bum La Pass in Tawang district, near the Indo-China border, this remote lake sits at an alt...",
21. Anini,"4.1
 /5","21 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        2  Tourist attractions","Anini is where the clouds come down the kiss the land. With much of its beauty peeking from behind the misty air, this unexplored town is the place to visit for pristine calmness. Lying in the beautiful Dibang Valley district, Anini is marked by pleasant weather and immense natural beauty, maki...",Best Time:  November to March
22. Mechuka,"4.0
 /5",22 out of 31  Places to visit in Arunachal Pradesh,"Mechuka is a famous destination in Arunachal Pradesh for exotic tribes and the scenic beauty it engulfs. The other name for Mechuka is Menchukha. It is a small town nestled above the sea level in Mechuka valley. It is home to Memba, Ramo, Bokar and Libo tribes. The natives are the followers of Buddh...",
23. Daporijo,"3.9
 /5","23 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        5  Tourist attractions","Paddy Fields, rainforests with bamboo trees along with beautiful Subansiri River flowing along the town, Daporijo is a small town on the way from Ziro to Along. Daporijo is a scenic town situated 600 meters above the sea level in the upper Subansiri district of the north eastern state of Arunac...",Best Time:  December to February
24. Pakhui Wildlife Sanctuary,"3.8
 /5",24 out of 31  Places to visit in Arunachal Pradesh,"Pakhui Wildlife Sanctuary, also known as Pakke Wildlife Sanctuary, is located in Arunachal Pradesh and spans over 862 square kilometers. It is renowned for its rich biodiversity, housing species like the Bengal tiger, Asian elephant, and various hornbills. The sanctuary is part of the Eastern Himala...",
25. Gorichen Peak,"3.7
 /5",25 out of 31  Places to visit in Arunachal Pradesh,"Gorichen Peak is the highest peak of Arunachal Pradesh and it is located between Tawang and West Kameng districts of Arunachal Pradesh. Situated at an altitude of 22,500 feet above sea level, this peak is roughly 164 kilometre from Tawang. The peak is locally known as Sa-Nga Phu, which literally mea...",
26. Golden Pagoda,,26 out of 31  Places to visit in Arunachal Pradesh,"The Golden Pagoda, alternatively referred to as Kongmu Kham in the Tai-Khamti dialect, is a stunning Burmese-inspired Buddhist temple situated in the Namsai District of Arunachal Pradesh, India. Established in 2010, this magnificent structure occupies a sprawling complex spread across 20 hectares (4...",
27. Tirap,"3.7
 /5","27 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        8  Tourist attractions","Tirap never fails to enchant its tourists with gushing rivulets, green and vibrant orchids and the freshness in air which heals the restless mind. Another spectacular attribute of this place is the ethnicity of tribals and their festivals, fairs and flawless artworks which are created with intense d...",Best Time:  March to June
28. Khonsa,"3.8
 /5","28 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        5  Tourist attractions","Khonsa is the headquarters of Tirap district in Arunachal Pradesh and is located in the Tirap Valley surrounded by Himalayan ranges. Streams, deep gorges, dense forests and snow-clad hills are some of the features which describe the terrain in Khonsa.",Best Time:  September to Apr
29. Yingkiong,"3.9
 /5","29 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        4  Tourist attractions","Yinkiong is the headquarter of the Upper Siang district, gets its name from River Siang that flows besides this district. This region is known for its diverse and colourful ethnicity where people live with love and celebrate festivals with zeal. Ponung, Roja and Broh are some of the famous danc...",Best Time:  October to February
30. Anjaw,"3.9
 /5","30 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        6  Tourist attractions","Anjaw is a small offbeat town amidst enormous greenery, gleaming waterfalls, beautiful river streams, pine forests and a thousand other spectacular things. Anjaw is not a much developed tourist destination, but due to its natural surroundings and greenery, it is a place where one can find solit...",Best Time:  March to August
31. Yupia,"3.7
 /5","31 out of 31  Places to visit in Arunachal Pradesh
				
		      
		         
		        7  Tourist attractions",Yupia is the headquarters of Papum Pare district of Arunachal Pradesh and is 20 Km away from the state capital Itanagar. One of the best things about this beautiful town is that its inhabitants have preserved their diverse culture and traditions with the touch of love and togetherness.,Best Time:  September to December
1. Kaziranga National Park,"3.8
 /5",1 out of 35  Places to visit in Assam,"Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it ...",Best Time:  October to June
2. Majuli,"4.6
 /5","2 out of 35  Places to visit in Assam
				
		      
		         
		        5  Tourist attractions","Majuli, a verdant and eco-friendly freshwater island nestled in the Brahmaputra River, is a pristine haven just 20 kilometers from Jorhat city in Assam. Encompassing a total area of 1250 square kilometers, Majuli holds the distinction of being the world's largest river island, drawing tourists ...",Best Time:  October - April
3. Guwahati,"4.0
 /5","3 out of 35  Places to visit in Assam
				
		      
		         
		        34  Tourist attractions","Famously regarded as the gateway to North-East India, Guwahati is the largest city in the state of Assam. It is also the largest metropolis in the entire North-Eastern region of India, making it the most preferred staging point to other destinations in the region. Sandwiched by the river Brahmaputra...",Best Time:  October to April
4. Manas National Park,"3.6
 /5",4 out of 35  Places to visit in Assam,"Manas National Park is a UNESCO Natural World Heritage site, a Project Tiger Reserve, an Elephant Reserve and a Biosphere Reserve in Assam. The only tiger reserve in Assam and also famous for the rare golden langur and the red panda, Manas is one of the best-kept national parks in India.",Best Time:  October to Apr
5. Dibrugarh,"5.0
 /5","5 out of 35  Places to visit in Assam
				
		      
		         
		        10  Tourist attractions","Dibrugarh is the largest city of Assam located 439 km from Guwahati. A major city in the northeastern region of India in line with cities like Guwahati and Bhubaneswar, Dibrugarh is the emerging communication and industrial hub of North East India. Dibrugarh has an airport that is well-connected wit...",Best Time:  October to March
6. Jorhat,"3.8
 /5","6 out of 35  Places to visit in Assam
				
		      
		         
		        21  Tourist attractions","Famous for its culture, mosques, tombs, gardens and most importantly - its tea plantations, Jorhat is a culturally and commercially important city in the state of Assam. The headquarters of Jorhat district, this city is also known as the tea capital of India. It is located at a distance of about 305...",Best Time:  October to March
7. Hajo,"3.5
 /5","7 out of 35  Places to visit in Assam
				
		      
		         
		        5  Tourist attractions","At a distance of about 24 km from the city of Guwahati, Hajo adores the banks of Brahmaputra. An ancient pilgrim centre, Hajo finds its uniqueness in being an attraction for three religions - Hindu, Muslims and Buddhists. Shrines dedicated to Durga, Shiva, Vishnu, Buddha and major Muslim saints are ...",Best Time:  July to March
8. Bogamati,,8 out of 35  Places to visit in Assam,"Newly discovered Bogamati is a picturesque spot perfect for picnics that lies at the mouth of river ‘Barnadi’ on the foothills on Indo-Bhutan border, in the Baksa district, Assam. Inaugurated by Emanuel Muchahary, MLA of Tumulpur, about six years ago, the unexplored, panoramic view of the mountains ...",
9. Mayong Assam,"3.6
 /5",9 out of 35  Places to visit in Assam,"Mayong, also known as 'the land of black magic', is a cluster of villages situated at a distance of 40 km from Guwahati. The village lies on the banks of the Brahmaputra River in the district of Morigaon in Assam. Mayong is a famous tourist spot and the famous stories of black magic and the magician...",
10. Dibru Saikhowa National Park,"3.2
 /5",10 out of 35  Places to visit in Assam,"Dibru Saikhowa National Park is one of those places which boast of a rich collection of flora and fauna, many of them endangered. It is one of the few remaining protected sites in the Endemic Bird Area of the Assamese Plains.",Best Time:  November to April
11. Pobitora Wildlife Sanctuary,"4.2
 /5",11 out of 35  Places to visit in Assam,"Home to the densest population of One-horned Rhinos in the world, the Pobitora Wildlife Sanctuary is located in Assam, approximately 30 km away from Guwahati in the Morigaon District. The wildlife sanctuary also sees an astounding diversity of bird species. No wonder then that it is also called 'Bha...",
